,text_length,binoculars_score,percentage,perplexity,entropy_rate,rates
gpt_4o0.txt,111537,0.8486486673355103,100,40.19,0.5363093109117048,"[0.7063220952575845, 0.0, 0.7057984785611349, 0.7242719979196444, 0.0, 0.8013606547189719, 0.5997950121191001, 0.7038023060265898, 0.7537843351995978, 0.0, 0.7705956902141499, 0.0, 0.0, 0.0, 0.7196623259031814, 0.774076911339984, 0.0, 0.0, 0.72614916225049, 0.0, 0.7120287542058236, 0.7945110660650733, 0.7573619914955967, 0.837537747755648, 0.7775223464018352, 0.7072878225344649, 0.679080978621112, 0.7495279720587043, 0.0, 0.6831906107930076, 0.0, 0.7040170495026611, 0.8575775588266079, 0.6369535665684082, 0.6147762048306301, 0.824848952554348, 0.7269438621759116, 0.7131838969962321, 0.7460599546781544, 0.7796081473469255, 0.7010442944583222]"
gpt_4o0_0.9.txt,112370,0.8536585569381714,,0.0,0.36123396118046236,"[0.0, 0.0, 0.0, 0.7025770605137946, 0.0, 0.5690467686253177, 0.0, 0.705491129047475, 0.590556322897318, 0.0, 0.0, 0.0, 0.0, 0.7547772343727323, 0.0, 0.8773895592288314, 0.6602234897847477, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5933146906487459, 0.882069818244968, 0.0, 0.0, 0.7407954338437998, 0.6101586409361524, 0.0, 0.6341839869355894, 0.0, 0.0, 0.712795684545423, 0.6006257032662167, 0.7127861139698097, 0.7443138704536516, 0.8403295162826494, 0.6503261988646765, 0.8741141901398163, 0.7100132570485561, 0.6447037387486891]"
gpt_4o0_1.05.txt,152819,0.9436619877815247,,0.0,0.0,
gpt_4o0_1.1.txt,167273,0.9772727489471436,,0.0,1.3660175120068245,"[1.5331607008116979, 1.228886785652589, 1.2257160423048437, 1.2024448163653352, 1.5551418026623443, 1.2999584238392854, 1.492126121224476, 1.0947577324070046, 1.595342426113876, 1.2488201418571876, 1.3787303458893758, 1.4152485596956792, 1.5668238803782977, 1.2278847030379552, 1.2093290924104292, 1.2096354546100838, 1.4988857141432408, 1.1595641260905734, 1.235696221891209, 1.3886452480998217, 1.5786626004993658, 1.3648396693309375, 1.1850892396507768, 1.2295632521927928, 1.253510365234411, 1.1706025032054426, 1.1795482606063012, 1.2012388937656506, 1.1725784582417615, 1.5928093848776443, 1.2182005811243195, 1.2290727954386296, 1.6067664155958008, 1.492971789165825, 1.5463446795310516, 1.6208374190228318, 1.4263132423762381, 1.584552811674418, 1.446552210367144, 1.5582755295275423, 1.5815895513656044]"
gpt_4o1.txt,151231,0.7613636255264282,99.58,35.26,0.6536355173488407,"[0.6659843765226157, 0.6613844921482355, 0.6931197324479291, 0.0, 0.7464481902415049, 0.6545726987187822, 0.7167834684720663, 0.6600699645467765, 0.6235557309495731, 0.7056513368295693, 0.6661550712845538, 0.6969377372596866, 0.6974629043526881, 0.7186634234657181, 0.6405812070978882, 0.6162187202884163, 0.6709904429635768, 0.6590147057449408, 0.654813911989657, 0.7233473345306084, 0.6745697755908487, 0.6454768234796426, 0.0, 0.7098758986686345, 0.7372421668775021, 0.705310347677327, 0.6692867873399069, 0.6266798385284839, 0.7108017223237405, 0.6499638130893586, 0.6237758504260528, 0.7222798456491197, 0.6834306976773941, 0.677411895765659, 0.7357921543632628, 0.7328801914503594, 0.7279191050417902, 0.7562269870388467, 0.6717123786549483, 0.7383610854940164, 0.7283033963107938]"
gpt_4o10.txt,118420,0.8913043737411499,100,49.34,0.4054421752401861,"[0.5969158889797057, 0.5974229818505616, 0.6896591035317593, 0.580295756895438, 0.641366986208274, 0.0, 0.0, 0.0, 0.0, 0.6221350298606801, 0.0, 0.5695363717426531, 0.6927314739414111, 0.0, 0.5777022621387857, 0.0, 0.0, 0.6428089025504548, 0.0, 0.6087877037280253, 0.6060465439104773, 0.0, 0.6081362430258083, 0.0, 0.0, 0.0, 0.6644428644701257, 0.0, 0.6048167957863608, 0.6877713686327874, 0.0, 0.6523025274920607, 0.647962693784083, 0.6618042993737238, 0.6604936408497708, 0.6652977186336189, 0.6447395351283909, 0.6779632493587531, 0.6533462559318369, 0.6916642556549247, 0.6769787313871614]"
gpt_4o100.txt,150121,0.8783068656921387,100,44.67,0.40457043742443266,"[0.0, 0.5582027893138771, 0.0, 0.0, 0.5914802276242117, 0.0, 0.0, 0.0, 0.6098263045104132, 0.6182141836424175, 0.6133352803935586, 0.5511162741318438, 0.5592741959706204, 0.5380988641758407, 0.5513226754275389, 0.5260916124206981, 0.0, 0.6620144033000182, 0.5974378910290383, 0.0, 0.6428288521478941, 0.0, 0.0, 0.6632000647496087, 0.5272819530485738, 0.5043523408934103, 0.40563903160298337, 0.6816508950654769, 0.0, 0.0, 0.5297071076580046, 0.0, 0.5687549027105715, 0.6140637608039717, 0.635533989155396, 0.6115561352639935, 0.612580785718167, 0.7234472410627423, 0.5893662949501702, 0.6315362164551428, 0.6694736611755536]"
gpt_4o101.txt,45537,0.8894472122192383,100,55.66,0.5878787705752686,"[0.635012149023207, 0.6361309399558132, 0.6309797172800805, 0.6220533394123126, 0.636987307707465, 0.6055940507693797, 0.6406925703336951, 0.5546260569803728, 0.6396007814869892, 0.6516222627320223, 0.6567507611369788, 0.6275529559936163, 0.33724041991647763, 0.513303863658202, 0.6268939702119829, 0.6357895237985655, 0.6702084332975435, 0.6379470589150524, 0.6492610758686675, 0.3361246821030148, 0.3344611706397824, 0.6177232997230135, 0.3749468115622563, 0.4039603919234175, 0.6576666197725982, 0.6480929468195478, 0.6565786294528883, 0.6492270515883765, 0.621753787043581, 0.6173710453461597, 0.6302288761672854, 0.3652219190806386, 0.6351184112523908, 0.6242381473457677, 0.6229505442432027, 0.5728036484059452, 0.6411519497124993, 0.6236252621938431, 0.6206257166931566, 0.6208714859051268, 0.6200399581330885]"
gpt_4o102.txt,106734,0.8216215968132019,97.97,42.52,0.4480833610768309,"[0.0, 0.0, 0.0, 0.6496871009223172, 0.0, 0.5818842987247951, 0.0, 0.6701229120021095, 0.0, 0.0, 0.7920127162475605, 0.7041149527474292, 0.0, 0.5990586960989251, 0.0, 0.6344091964008475, 0.6278276180702709, 0.5760265307555255, 0.7621205240727613, 0.6753573303166318, 0.0, 0.7362619613323401, 0.0, 0.7548027012961923, 0.6090977866599264, 0.6898385746607149, 0.0, 0.0, 0.7549577916264139, 0.7183759619179034, 0.0, 0.0, 0.6632414231621819, 0.8190389871869436, 0.7840802277146985, 0.7319634678324597, 0.777580520489953, 0.7031899585640413, 0.8235816573119161, 0.7874166653007272, 0.7453682427344787]"
gpt_4o103.txt,153549,0.8535353541374207,82.14,61.79,0.47133001495498567,"[0.5002101240433531, 0.6819294191169037, 0.7242999457277589, 0.0, 0.6224725248276051, 0.6223174563639958, 0.55669941916175, 0.0, 0.4913015980156307, 0.4913015980156307, 0.6980784985431636, 0.537951440870186, 0.6168625111931243, 0.0, 0.7514363846745634, 0.0, 0.5046643870572143, 0.5990916525883001, 0.0, 0.5161282734936727, 0.627046423023615, 0.6416127396479797, 0.0, 0.0, 0.5129972299995812, 0.5232056687235993, 0.4913015980156307, 0.6071447605481065, 0.0, 0.6294118010741343, 0.0, 0.5132572401549692, 0.7227378679313309, 0.6315332782161149, 0.5834228256950036, 0.5860326756890832, 0.7318484887996347, 0.6859125977816087, 0.6083917445591901, 0.6315825419578238, 0.6823458976441589]"
gpt_4o104.txt,42492,0.9099525809288025,84.56,68.08,0.42296758833820663,"[0.6697542368497905, 0.0, 0.936828133026679, 0.0, 0.8996792140501798, 0.0, 0.6729414195028985, 0.6594242452136663, 0.0, 0.0, 0.0, 0.6721965594550203, 0.0, 0.0, 0.0, 0.0, 0.6753806129492155, 0.6748362454689845, 0.6744784432897118, 0.9616151093851458, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9350967070822462, 0.972075178978211, 0.0, 0.6836887577005231, 0.0, 0.6791990803066735, 0.0, 0.0, 0.9308098937198153, 0.7517993856162959, 0.737665861407697, 0.6675070741111403, 0.674392211727254, 0.9880815616033395, 0.8731794801861325, 0.9510417102358528]"
gpt_4o105.txt,154006,0.8156424760818481,99.87,33.94,0.3398039835660106,"[0.0, 0.0, 0.0, 0.5566496490276248, 0.7263280012931285, 0.0, 0.0, 0.0, 0.0, 0.8408472973360174, 0.0, 0.0, 0.0, 0.0, 0.6563721708757677, 0.5705767520819195, 0.6166731327820751, 0.8526863299129356, 0.0, 0.0, 0.5462884587844173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4749299335617047, 0.599697203897629, 0.70412829583949, 0.0, 0.0, 0.8111005389533242, 0.8708431198245843, 0.8368075602726113, 0.5482755595194454, 0.8056179338073163, 0.443690193615693, 0.5805734596068189, 0.5008848239840955, 0.6412768236517176, 0.7477160875781191]"
