id,Title,Author,Subjects,Median Entropy Rate,Mean Entropy Rate,Estimated Posterior Probability,Source File
10,The King James Version of the Bible,Unknown,Bible,0.5052329179714329,0.4954068450812958,59.54741287231445,Guten_index10.json
100,The Complete Works of William Shakespeare,"Shakespeare, William","English drama -- Early modern and Elizabethan, 1500-1600",0.6759054307505349,0.6627717031381446,86.33462524414062,Guten_index100.json
1000,La Divina Commedia di Dante: Complete,Dante Alighieri,"Epic poetry, Italian Italian poetry -- To 1400",0.9078106105964936,0.9071899638586391,93.82142639160156,Guten_index1000.json
1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,"Epic poetry, Italian -- Translations into English Hell -- Poetry Italian poetry -- To 1400 -- Translations into English",0.7807475533175794,0.7852238083919111,63.66532897949219,Guten_index1001.json
1002,"Divine Comedy, Longfellow's Translation, Purgatory",Dante Alighieri,"Epic poetry, Italian -- Translations into English Italian poetry -- To 1400 -- Translations into English",0.8115249775965063,0.8308876631664278,67.12335968017578,Guten_index1002.json
1003,"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,"Epic poetry, Italian -- Translations into English Italian poetry -- To 1400 -- Translations into English",0.7237745290759454,0.792082831455126,73.61595916748047,Guten_index1003.json
1004,"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,"Epic poetry, Italian -- Translations into English Italian poetry -- To 1400 -- Translations into English",0.7627962197642311,0.781849949005547,71.71343231201172,Guten_index1004.json
1005,"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,"Epic poetry, Italian -- Translations into English Hell -- Poetry Italian poetry -- To 1400 -- Translations into English",0.7229934335133144,0.7845576893418819,71.83820343017578,Guten_index1005.json
1006,"Divine Comedy, Cary's Translation, Purgatory",Dante Alighieri,"Epic poetry, Italian -- Translations into English Italian poetry -- To 1400 -- Translations into English",0.7503908752973506,0.7864682296193849,68.0771484375,Guten_index1006.json
1007,"Divine Comedy, Cary's Translation, Paradise",Dante Alighieri,"Epic poetry, Italian -- Translations into English Italian poetry -- To 1400 -- Translations into English",0.8578822841783724,0.859154029212976,79.63525390625,Guten_index1007.json
1008,"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,"Epic poetry, Italian -- Translations into English Italian poetry -- To 1400 -- Translations into English",0.9312006793782787,0.9224084307552097,93.965087890625,Guten_index1008.json
1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,"Epic poetry, Italian Hell -- Poetry Italian poetry -- To 1400",0.8660127305373422,0.8652079263934528,93.52836608886719,Guten_index1009.json
1012,La Divina Commedia di Dante,Dante Alighieri,"Epic poetry, Italian Italian poetry -- To 1400",0.9085735959069,0.9070724303845057,93.82142639160156,Guten_index1012.json
1013,The First Men in the Moon,"Wells, H. G. (Herbert George)",Imperialism -- Fiction Moon -- Fiction Satire Science fiction Space flight to the moon -- Fiction Utopian fiction Utopias -- Fiction,0.7782826757893765,0.8039639456985627,86.56200408935547,Guten_index1013.json
1014,The Lure of the Dim Trails,"Bower, B. M.",Cowboys -- Fiction Western stories,0.7005773829877696,0.699988739908698,69.3385009765625,Guten_index1014.json
1015,The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,"Parkman, Francis","California National Historic Trail Frontier and pioneer life -- West (U.S.) Indians of North America -- West (U.S.) Oregon National Historic Trail Parkman, Francis, 1823-1893 -- Travel -- West (U.S.) West (U.S.) -- Description and travel West (U.S.) -- History -- To 1848",0.7632492256252058,0.7995658611503336,92.91252899169922,Guten_index1015.json
1017,The Soul of Man under Socialism,"Wilde, Oscar",Socialism,0.6688613128450607,0.6760235073499337,83.23649597167969,Guten_index1017.json
1018,The Water-Babies,"Kingsley, Charles",Chimney sweeps -- Juvenile fiction Fairy tales -- England,0.6435175479591106,0.6258330334045127,74.59220886230469,Guten_index1018.json
1019,"Poems by Currer, Ellis, and Acton Bell","Brontë, Anne, Brontë, Emily, Brontë, Charlotte",English poetry -- 19th century,0.7298184931719099,0.7335923175154321,66.29173278808594,Guten_index1019.json
102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",Impostors and imposture -- Fiction Infants switched at birth -- Fiction Legal stories Missouri -- Fiction Passing (Identity) -- Fiction Race relations -- Fiction Trials (Murder) -- Fiction,0.7652374507762847,0.7897615001378474,76.56940460205078,Guten_index102.json
1022,Walking,"Thoreau, Henry David",Essays Nature Walking,0.9516720637667145,1.017436218177187,86.75069427490234,Guten_index1022.json
1023,Bleak House,"Dickens, Charles",Bildungsromans Domestic fiction Guardian and ward -- Fiction Illegitimate children -- Fiction Inheritance and succession -- Fiction Legal stories London (England) -- Fiction Young women -- Fiction,0.7622733302631407,0.7648809776479696,89.89165496826172,Guten_index1023.json
1024,The Wrecker,"Stevenson, Robert Louis, Osbourne, Lloyd",Avarice -- Fiction Shipwrecks -- Fiction Treasure troves -- Fiction,0.8310405548350205,0.8470504773499502,93.13701629638672,Guten_index1024.json
1025,"Essays; Political, Economical, and Philosophical — Volume 1","Rumford, Benjamin, Graf von",Charities Fireplaces Food Heat Kitchen utensils Poor -- Germany -- Munich,0.7912227289604857,0.7856846655329541,92.98478698730469,Guten_index1025.json
1026,The Diary of a Nobody,"Grossmith, George, Grossmith, Weedon",Diary fiction England -- Fiction Humorous stories Men -- England -- Fiction Middle class -- Fiction Suburban life -- Fiction,0.6686372436989647,0.6779457692808978,82.02323913574219,Guten_index1026.json
1027,The Lone Star Ranger: A Romance of the Border,"Grey, Zane",Mexican-American Border Region -- Fiction Western stories,0.7646326253106732,0.7683880424663049,81.06377410888672,Guten_index1027.json
1028,The Professor,"Brontë, Charlotte",Belgium -- Social life and customs -- 19th century -- Fiction British -- Belgium -- Fiction Brussels (Belgium) -- Fiction Love stories Triangles (Interpersonal relations) -- Fiction Women teachers -- Fiction,0.7838205248436627,0.8571234784328838,93.48350524902344,Guten_index1028.json
1029,The Night-Born,"London, Jack",Adventure and adventurers -- Fiction Short stories,0.8420209949812278,0.8190329601824492,86.15814208984375,Guten_index1029.json
103,Around the World in Eighty Days,"Verne, Jules",Adventure stories Voyages around the world -- Fiction,0.7985370402094685,0.8364898374377346,93.05767059326172,Guten_index103.json
1030,The Cavalier Songs and Ballads of England from 1642 to 1684,Unknown,"Ballads, English English poetry -- Early modern, 1500-1700",0.9397160615875718,0.9187105876984418,93.58320617675781,Guten_index1030.json
1031,"Charmides, and Other Poems","Wilde, Oscar",Poetry,0.7882032745976848,0.7863756313291447,66.90499114990234,Guten_index1031.json
1032,The Pupil,"James, Henry",Fiction,0.7770935873443523,0.8169593042108959,87.20012664794922,Guten_index1032.json
1036,Joe Wilson and His Mates,"Lawson, Henry",Australia -- Fiction Frontier and pioneer life -- Australia -- Fiction Historical fiction,0.7949870880285125,0.7692719140275676,88.25609588623047,Guten_index1036.json
1037,The Life of John Bunyan,"Venables, Edmund","Authors, English -- Early modern, 1500-1700 -- Biography Bunyan, John, 1628-1688 Puritans -- England -- Clergy -- Biography",0.8208206397980788,0.832605331252101,75.71321105957031,Guten_index1037.json
1038,Style,"Raleigh, Walter Alexander, Sir","Style, Literary",0.9310066457418594,0.970067844551247,94.5809326171875,Guten_index1038.json
1041,Shakespeare's Sonnets,"Shakespeare, William","English poetry Sonnets, English",0.7487595347304785,0.8001328771705348,69.82466125488281,Guten_index1041.json
1042,"A Reading of Life, with Other Poems","Meredith, George",English poetry,0.7224051845972654,0.751710632687664,61.9532356262207,Guten_index1042.json
1044,Extract from Captain Stormfield's Visit to Heaven,"Twain, Mark","Heaven -- Fiction Religious fiction Satire Ship captains -- Fiction Voyages, Imaginary",0.7507077983391223,0.7734175952668542,63.3804931640625,Guten_index1044.json
1045,Venus and Adonis,"Shakespeare, William",Adonis (Greek deity) -- Poetry Venus (Roman deity) -- Poetry,0.8929435809118597,0.7833250676131069,83.84984588623047,Guten_index1045.json
1046,"God, the Invisible King","Wells, H. G. (Herbert George)",God (Christianity),0.8352859953027025,0.8302144334518865,77.27986145019531,Guten_index1046.json
1047,The New Machiavelli,"Wells, H. G. (Herbert George)",Adultery -- Fiction Great Britain -- Politics and government -- Fiction Man-woman relationships -- Fiction Political fiction,0.8069400744123807,0.8195144429980477,93.09083557128906,Guten_index1047.json
1048,The Ruling Passion: Tales of Nature and Human Nature,"Van Dyke, Henry","Fiction Short stories, American",0.8147798908278718,0.8465464284027805,93.42394256591797,Guten_index1048.json
105,Persuasion,"Austen, Jane",Dysfunctional families -- Fiction England -- Social life and customs -- 19th century -- Fiction First loves -- Fiction Love stories Motherless families -- Fiction Psychological fiction Regency fiction Rejection (Psychology) -- Fiction Ship captains -- Fiction Young women -- Fiction,0.7536439164592683,0.7627123735367761,91.84828186035156,Guten_index105.json
1051,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,"Carlyle, Thomas",Clothing and dress -- Fiction Conduct of life -- Fiction Didactic fiction Germany -- Fiction Humorous stories Philosophers -- Fiction Satire,0.8319507208757748,0.8648679427288568,91.66130065917969,Guten_index1051.json
1053,Within the Tides: Tales,"Conrad, Joseph","English fiction -- 20th century Short stories, English",0.7627872340108619,0.8002785151624529,72.55956268310547,Guten_index1053.json
1054,A Collection of Ballads,"Lang, Andrew","Ballads, Scots -- Scotland -- Texts",0.7659828637642088,0.765754143125468,80.90689849853516,Guten_index1054.json
1055,'Twixt Land & Sea: Tales,"Conrad, Joseph",Indian Ocean -- Fiction Ship captains -- Fiction,0.7690540250526847,0.821495577530328,89.59329223632812,Guten_index1055.json
1056,Martin Eden,"London, Jack",Authors -- Fiction Autobiographical fiction Bildungsromans San Francisco (Calif.) -- Fiction Working class -- Fiction Young men -- Fiction,0.814261690939148,0.840553548833505,82.28300476074219,Guten_index1056.json
1057,"Poems, with The Ballad of Reading Gaol","Wilde, Oscar",Poetry Prisons -- Poetry,0.780468091871263,0.7923600132526517,64.87684631347656,Guten_index1057.json
1058,The Mirror of the Sea,"Conrad, Joseph","Conrad, Joseph, 1857-1924 -- Travel Seafaring life",0.7828068760568401,0.8275852883041563,93.15494537353516,Guten_index1058.json
1059,The World Set Free,"Wells, H. G. (Herbert George)",Imaginary wars and battles -- Fiction Nuclear warfare -- Fiction War stories,0.8334586655864236,0.8412232019093399,80.70140838623047,Guten_index1059.json
106,Jungle Tales of Tarzan,"Burroughs, Edgar Rice",Adventure stories Africa -- Fiction Apes -- Fiction Fantasy fiction Jungles -- Fiction Tarzan (Fictitious character) -- Fiction,0.7789446765475286,0.7579761136173387,81.88317108154297,Guten_index106.json
1060,Grass of Parnassus,"Lang, Andrew",Poetry,0.6759103258580049,0.6981023621379754,65.15858459472656,Guten_index1060.json
1063,The Cask of Amontillado,"Poe, Edgar Allan","Horror tales, American Revenge -- Fiction",0.7028195311147837,0.7493587880797918,54.44560241699219,Guten_index1063.json
1064,The Masque of the Red Death,"Poe, Edgar Allan","Horror tales, American",0.7420925164244327,0.7004865524143671,55.30912780761719,Guten_index1064.json
1065,The Raven,"Poe, Edgar Allan","Fantasy poetry, American Ravens -- Poetry",0.48128014114388795,0.5466699706881576,53.56613540649414,Guten_index1065.json
1066,William the Conqueror,"Freeman, Edward A. (Edward Augustus)","Great Britain -- History -- William I, 1066-1087 Great Britain -- Kings and rulers -- Biography Normans -- Great Britain -- Biography William I, King of England, 1027 or 8-1087",0.5946528084509883,0.5844090430135946,76.34040832519531,Guten_index1066.json
1067,Personal Memoirs of U. S. Grant — Volume 1,"Grant, Ulysses S. (Ulysses Simpson)","Generals -- United States -- Biography Grant, Ulysses S. (Ulysses Simpson), 1822-1885 Mexican War, 1846-1848 -- Personal narratives Presidents -- United States -- Biography United States -- History -- Civil War, 1861-1865 -- Campaigns United States. Army -- Biography",0.7613422397544733,0.7586364503495997,90.51033020019531,Guten_index1067.json
1068,Personal Memoirs of U. S. Grant — Volume 2,"Grant, Ulysses S. (Ulysses Simpson)","Generals -- United States -- Biography Grant, Ulysses S. (Ulysses Simpson), 1822-1885 Mexican War, 1846-1848 -- Personal narratives Presidents -- United States -- Biography United States -- History -- Civil War, 1861-1865 -- Campaigns United States. Army -- Biography",0.7461798051491154,0.7378361991521574,71.01837921142578,Guten_index1068.json
1069,Four Short Stories By Emile Zola,"Zola, Émile",France -- Social life and customs -- Fiction Short stories,0.8232406284965297,0.8348156395856894,93.369140625,Guten_index1069.json
107,Far from the Madding Crowd,"Hardy, Thomas",Didactic fiction Farm life -- Fiction Love stories Pastoral fiction Triangles (Interpersonal relations) -- Fiction Wessex (England) -- Fiction Women farmers -- Fiction,0.746734634799661,0.7850912583128453,88.92922973632812,Guten_index107.json
