,text_length,binoculars_score,percentage,perplexity,entropy_rate,rates
gpt_4zero0.txt,153392,0.8720378875732422,95.73,32.83,0.8096616332194767,"[1.017256171982963, 0.7762635978433657, 0.849841049470504, 0.7772375512376878, 0.7700962304591048, 0.7820016833012109, 0.7722195889854451, 0.8119500263657211, 0.9868285423408586, 0.8160274347965059, 0.0, 0.838375378759856, 0.7862186877056402, 0.7726873458359388, 0.7723488899657168, 0.8176708631679915, 0.9568798390467478, 0.8298209956585474, 0.7725526232991706, 1.0043132609749648, 0.8399285910945652, 0.969666375472914, 0.7539811828834517, 0.7846717200696447, 0.8308532299965764, 0.8443462472462478, 0.7547107261753051, 0.9105115512136659, 0.0, 0.7552374156914468, 0.8193782181443011, 1.009073951108287, 0.8173678248774258, 0.9697176683544326, 0.9438524463228177, 1.0024145894230105, 0.9610937031714243, 0.955804550521569, 0.7536884246473671, 0.833458640497614, 0.7757801438885326]"
gpt_4zero1.txt,152282,0.8716577291488647,98.21,37.59,0.6904465587753745,"[0.7483590209900602, 1.1026058273907866, 0.0, 0.0, 0.7273697842251928, 0.7272552009240519, 0.9622535420193669, 0.0, 0.7230337501501597, 1.0576318745247832, 0.7180414745407311, 0.7281070829079741, 0.735614997776807, 0.0, 0.0, 0.0, 0.73057438983772, 1.0604723310442454, 0.7322795281224446, 0.7421605099572919, 0.8271629729220744, 0.730026133107485, 0.0, 0.7323068406550403, 0.0, 0.723216476798943, 1.1751462508032016, 0.7183137414610482, 0.7999642011184093, 0.7269924455778842, 1.0335727689671979, 0.7365580150767881, 0.7404282184380839, 1.0692294154156272, 0.8715294536460774, 1.1253867138413376, 0.9426346098210904, 0.9576553889542712, 1.1064056185525912, 0.7434466508747538, 1.0525736793468314]"
gpt_4zero10.txt,150572,0.8809523582458496,98.27,46.7,0.634117105726864,"[0.9053659419204357, 0.7150533336667558, 0.7062009830102118, 0.9153072596043025, 0.7357256918156181, 0.9889871587425445, 0.70389898858831, 0.7301003299630576, 0.0, 0.0, 0.0, 0.7133164805345611, 0.7708277720244829, 0.7176189251170343, 0.0, 0.9593986609333042, 0.7084374903920589, 0.0, 0.7230624267472855, 0.0, 0.699764498244492, 0.7917328318474525, 0.0, 0.7040828369655112, 0.704742249716061, 0.0, 0.9405124063182563, 0.9768526081991552, 0.7147544838971702, 0.0, 0.694450738321523, 0.7208796797731294, 0.9170722421510699, 0.8954099243224484, 0.9386093245080654, 0.8825286875163502, 0.991808233347936, 0.7626322927548352, 0.7322284532492365, 0.9745369140726756, 0.9629014865360983]"
gpt_4zero11.txt,153139,0.8370786309242249,87.93,32.98,0.7156893423078261,"[0.7358659545035341, 0.6663886945229176, 0.0, 0.7124802119893884, 0.8628498043653162, 0.7094919638883617, 0.810135194658095, 0.6404220497755415, 0.7402024303764664, 1.0206667751101277, 0.6463779400939066, 0.7028190238142041, 0.7600801329353495, 0.7156437578004451, 0.0, 0.6775788616483007, 0.0, 0.9300401772375193, 0.7235617129947567, 0.7155751020351061, 0.7204135329152186, 0.6485696639575068, 0.6729272475663552, 0.884794025517598, 0.6924206196086281, 0.0, 0.7059179946054975, 0.7085899364704823, 0.7207744158528321, 0.7183133862454278, 1.02924863927086, 0.97648628471716, 0.7421047306698318, 0.8706175838865342, 0.7731809381275675, 1.013524582712753, 0.8610036535939386, 0.8738036193534764, 0.9468334654073928, 1.0035850092495648, 1.0099739171429027]"
gpt_4zero12.txt,151448,0.9333333373069763,78.59,34.4,0.6923376148953704,"[0.7231057748756088, 0.8722996372909472, 0.7100338570712337, 0.7279312996558118, 0.7175519011910747, 0.7200438112666563, 0.8202498769711253, 0.7345748547418378, 0.7142800274742687, 0.7179676594810422, 0.8624405020110764, 0.7164838038660954, 0.7168739843476312, 0.7290470450217875, 0.7177713571266785, 0.7274647053240475, 0.7079383970508265, 0.8736432571420643, 0.0, 0.9281914557240957, 0.7330962916929149, 0.0, 0.0, 0.89466283350401, 0.9804039717827944, 0.8503983455251286, 0.7296737227772617, 0.7084038622606985, 0.7287042539351399, 0.7624551769888349, 0.0, 0.0, 0.7222790913101647, 0.8200154357285627, 0.8295713077927862, 0.8522378876727744, 0.7862809510105383, 0.9698465200626267, 0.9000768036853071, 0.9140945027496824, 0.7657480445970538]"
gpt_4zero13.txt,150988,0.9219512343406677,98.21,27.32,0.7914887082717157,"[0.5965447949097633, 0.7474221511090536, 1.0359614423063095, 0.7790571465139252, 0.0, 0.8986851160841096, 0.7636911558666937, 0.7062611889215881, 0.8743517586087094, 0.7999738354116884, 1.0622023277179378, 0.8513409931487395, 0.7649875109203158, 0.30337479580897275, 0.7724157964897035, 0.16866089941611132, 0.9948432052316198, 1.006410294194421, 0.4379439893513318, 0.7642492345578102, 0.8022161266494109, 0.7480373527074023, 0.42843253544509574, 1.0659175964508023, 0.7134009286577297, 0.7016593502694779, 0.6959736777093902, 1.074929417347224, 0.784104973942217, 0.8000928543413032, 0.7458999085600018, 0.7539478980526056, 0.9650098025380652, 0.8618813001403858, 0.8147965523512822, 1.0759978137279484, 0.9163461606878424, 1.0420202883456775, 1.0136223302988379, 1.0861831928730241, 1.0321893414758239]"
gpt_4zero14.txt,170395,0.870192289352417,94.77,50.62,0.8142472930771355,"[0.9002143044220003, 0.7125534751788251, 0.7976296045869554, 0.8334797149147313, 0.9590819018931687, 0.7799481604675368, 0.7525710513204596, 0.7758498017828505, 0.6934116026025606, 0.8073965069588886, 0.7510381815599071, 0.8235906399808743, 0.8479913577887072, 0.6600137077216021, 0.7959733056189887, 0.731196916383514, 0.7717731038268467, 0.825473649351449, 0.9623057970041873, 0.7756826889211621, 0.8412688580205979, 0.7868906788430492, 0.8145810413555559, 0.7656587636362158, 0.7694249104286073, 0.79604110166612, 0.7519857388779304, 1.018768903958121, 0.7546561748705712, 0.7252568928861877, 0.8596433012132597, 0.6707396586354873, 0.980796303747103, 0.9228882638219709, 0.8404245299171612, 0.8710734728088543, 0.8172786960426828, 0.7949663041422711, 0.868541837116146, 0.9487565596502061, 0.8273215522392471]"
gpt_4zero15.txt,150550,0.8947368264198303,92.21,59.69,0.573020193689471,"[0.7745912353936584, 0.653443969865137, 0.8968820551439174, 0.6795097658122766, 0.9522225378995881, 0.9396598241649581, 0.7058306623602038, 0.9427796023189612, 0.7692248359105872, 0.0, 1.0137956866983917, 0.0, 0.0, 0.0, 0.0, 0.6796710086444897, 0.6996553537607267, 0.0, 0.969247318610653, 0.6667738858160668, 0.0, 0.6772921074911904, 0.0, 0.0, 0.6520001992087991, 0.6926211179339328, 0.0, 0.0, 0.710296023037179, 0.6988334748811678, 0.7679311835932404, 0.0, 0.7142979845761984, 0.8211960827596166, 0.9299173809365977, 0.9726355784796434, 0.8910427963070298, 0.8894848272761962, 1.0158278185881158, 0.9313817959929266, 0.7857818278068618]"
gpt_4zero16.txt,151872,0.8829268217086792,95.73,44.25,0.7125584992234962,"[0.6129795938018181, 0.6649156414030604, 0.9559652600114484, 0.642990518040703, 0.6385099388551967, 1.0430974333161767, 0.0, 0.8488952232899112, 0.6794336357883044, 0.659619231347189, 0.0, 0.0, 0.8160472166920697, 0.7551931188322742, 0.6492911279846205, 1.032983681853258, 1.0418353349641334, 0.634478338129404, 0.6630789763588545, 0.6822439280847522, 0.6717954764082327, 0.6766974986868061, 0.0, 0.6554732544271101, 0.6581458188603084, 0.6532546452195046, 0.6599141856806765, 0.6656806270663843, 0.8860890418827785, 1.0312186195133117, 0.6684201757946099, 0.6424201906899775, 1.021530323021987, 1.031509738241314, 0.7947112657200182, 0.669953394069813, 0.9890699759062268, 1.0480130845068023, 0.9180554414968346, 0.8727007578777078, 0.9786867543397609]"
gpt_4zero17.txt,133337,0.9558823704719543,88.49,36.88,0.588387341144605,"[0.6734615296383019, 0.6477839930787245, 0.0, 0.6452193282346984, 0.0, 0.6961580190884471, 0.7315463641124319, 0.0, 0.7098937196023619, 0.6730937595445263, 0.9233265344875928, 0.0, 0.0, 0.0, 0.6643210372371394, 0.7284691588460803, 0.679054601719019, 0.6631488682469963, 0.6627255109458903, 0.7348292568477486, 0.0, 0.6288441294420045, 0.9330818745363204, 0.0, 0.6681258161186103, 0.8641512320651354, 0.6779148410482384, 0.6645455934513614, 0.9307748545979316, 0.0, 0.7690284124740304, 0.6772921074911904, 0.7622836508798777, 0.8697028078205915, 0.9504780951418448, 0.6818729007951598, 0.7106878430212129, 0.8188444306571511, 0.9611937197572805, 0.9488937192532078, 0.7731332767477029]"
