,text length,binoculars score,percentage,perplexity,entropy_rate,rates
africanpolitical00fort.txt,641434,0.944954157,0,0,0.989809117,"[1.7386178880710645, 0.0, 1.4549001529497827, 0.8932906441545675, 0.9689961464302128, 0.762071167730933, 0.9638870375766179, 0.9026362210542478, 1.05321888015482, 1.254510576408022, 1.018056443337577, 1.312296670584575, 1.0392583779024738, 0.6858407055538748, 1.111272821723885, 0.9887440828405737, 1.0197316292249667, 0.9181991951535035, 1.029473495062821, 0.9114189898018318, 1.133240890332752, 0.0, 1.1059010629291435, 1.0521141429344945, 1.1847288739243886, 1.0239895775481513, 1.0110583233517416, 0.899403795181886, 1.1874154675159294, 1.1116847483006043, 0.8513285466045284, 1.0003578693649564, 0.9439461626399781, 0.9199783222067505, 0.9098429472303321, 1.040871679792405, 0.9836601524332975, 1.010070278122683, 0.9181226180002456, 1.24033706406747, 1.0277001422820313]"
africansystemsof00radc.txt,965232,1.013244987,0,0,0.794067001,"[0.7926184786134258, 0.8768794062496973, 0.765625126206486, 1.0351761808157107, 0.9378952892342596, 0.6639040204413825, 0.8953583065865466, 0.7078742722184308, 0.872131532575836, 0.6994407826141278, 0.0, 0.32381447487516063, 0.7623152940887699, 0.8455178012973873, 0.9338241994075568, 0.873321404278192, 0.879842706320229, 0.6433555202925569, 0.8858941043974587, 0.85887207011608, 0.9317404461691485, 0.8665832865776053, 0.6689955532110469, 0.9290193137114425, 0.8306849234954843, 0.77813291097416, 0.8178414826856306, 0.6849175171472025, 0.8286571358361288, 0.7586252694828449, 0.8116868981309072, 0.3363969763223193, 0.8839936690132796, 0.9430841854681112, 0.9720913274812942, 0.8415294722990211, 0.9319992729975977, 0.8823571140676505, 0.7811156384516953, 0.9783417145859346, 0.8452919820143997]"
aidtoblindincali00sundrich.txt,45781,1.028901696,0,0,1.376223464,"[1.0154530191153837, 1.4286317820817767, 1.4245610170666179, 1.383094943460007, 1.4167021457972846, 1.37647954219196, 1.408004391695266, 1.3992912239158377, 1.4396173284120442, 1.419866511310236, 1.4100312900773326, 1.4161984044762612, 1.4042439753203244, 1.3846735101538816, 1.4457677627658165, 1.4457049924812724, 1.3087408627814041, 1.2756496091814296, 1.4098676429820904, 1.2636064417920996, 1.4261120704390495, 1.3155513611370957, 1.4258256237966092, 1.435709618632411, 1.4319645458917687, 1.430101476164693, 1.4147985617422731, 1.4265261721439098, 1.3999132046596092, 1.4148558399321618, 1.4394238575596532, 1.4367617816430742, 1.21261849008965, 1.3666744086268923, 1.388587959246664, 1.3955965436706304, 1.391718767361464, 1.2951371261629465, 1.2744845911678273, 1.273613072616159, 1.3530005692741378]"
alsabalmuallaqat00johnrich.txt,306449,1,0,0,1.886306113,"[2.0887617397074756, 1.9664875038627487, 2.0630147481758385, 2.0360919685747523, 1.9667428118512942, 1.7125058530317587, 2.0925791901044395, 1.841509985078361, 1.9798044562663621, 1.8614710443926445, 2.1866464484926347, 2.0462688528919895, 1.923561084995658, 1.7305060697584713, 0.8545908162560542, 1.8857694028499583, 1.971848665700961, 2.073900112027179, 1.892523826964866, 1.9185066312042978, 2.0583927648957077, 1.809087785611783, 1.5162652848811027, 2.160185145558459, 2.01892032861553, 1.8533165580278395, 1.9286335075353511, 1.9971079938707748, 1.8490909275838392, 2.1301256816683556, 1.8842926968237144, 1.9799247174006578, 1.6812739588393462, 1.7717747552426963, 1.9395025820297878, 1.8320796604457519, 1.390193284422939, 1.8864506413381348, 1.9701793860184835, 1.6329185204146588, 1.955743254780214]"
anthropologymode00boas.txt,323554,1.026666641,0,0,0.907550688,"[0.8785360924656181, 0.8913863516234123, 0.8257044231983305, 0.9531103675867909, 0.8601159843536692, 0.7982330415431307, 0.7651913743974642, 0.902991484772414, 0.7835072040444705, 0.9256079568060162, 0.8893284205912875, 1.0145433908662498, 0.9863599640720976, 0.7678009373261422, 0.9811612105077345, 0.9187006627695768, 0.7496426478076373, 0.9345559777137339, 1.0215717709780499, 0.9000916393481998, 0.8983327284029207, 0.7492799838730507, 1.0265882084042033, 0.9754436182675296, 0.8778872432293116, 0.8072488976059218, 0.996719516981981, 0.7677801725762072, 0.8227202335932338, 1.015762835388148, 0.8596914947512848, 0.8115857511777569, 0.9610249036293459, 0.8857404950568707, 1.0157174065895231, 0.9763754403314281, 1.0363790430715303, 1.013705938613202, 0.8656331450473992, 1.0112839006853247, 1.0865363516648678]"
attitudesactivit00jenkrich.txt,296817,1.035460949,0.009615385,0,1.418539891,"[0.8917536483245069, 1.5074917581484695, 1.4525064091479365, 1.49735287833871, 1.609662548462539, 1.0142730244098466, 1.5585681156852433, 1.451172106255047, 1.269036841996707, 1.4558270905320128, 1.4797027008194286, 1.5088957639929121, 1.1920310586174996, 1.219385045428736, 1.3419557573483962, 1.4884770047032558, 1.529770545047144, 1.5563792189711478, 1.5793091159847392, 1.3122360792055523, 1.474222279623366, 1.4334686971419033, 1.4136766367274447, 1.1552400462006898, 1.5400116239924027, 1.5052505255003612, 1.5287352897263156, 1.432062536397489, 1.503555111199536, 1.5575175222938675, 1.4948803237030632, 1.1925159111704018, 1.4778663756163424, 1.235046492887041, 1.4807432361987596, 1.5399504021371, 1.350189347376877, 1.4607111164636808, 1.5162417844194076, 1.4207447314920079, 1.5317188290387131]"
baldwinmwoodsonu00woodrich.txt,98108,0.987500012,0.009174312,0,1.957611653,"[2.1633778819701512, 1.470039844686791, 1.9585463446214149, 2.0857358288519348, 2.2011605706632413, 2.1630852112527545, 2.1063597140482813, 2.170325381636017, 1.9392918647423758, 1.9888215032429521, 2.2017581744546573, 2.200497878434858, 2.1172249491683015, 0.9319509448139213, 2.1053260947003154, 2.0704343379549304, 2.0718297410043456, 1.5619100310486693, 2.114269929830702, 1.8115680952654287, 2.1927166572789933, 2.215279179005156, 2.074419346355149, 2.027852911040649, 1.6195176556281967, 2.020879795472995, 2.223572137535223, 2.138989694785273, 1.9721470752915933, 2.1497081888607488, 2.1595060181735266, 2.130553477153303, 1.5169951699441133, 1.9264447532581304, 1.919163716922615, 1.3416564020477988, 1.6034657179472223, 1.84092918022376, 1.9896967235645584, 1.7491353704352903, 2.015934290717318]"
berkeleycultureu00richrich.txt,440584,1,0,0,3.379638626,"[1.1724904220787093, 3.2678200078756565, 2.6904412048406523, 3.7412922438787874, 3.702756020080723, 3.6359208900369357, 3.6769753942267096, 3.68703287138353, 3.3505943286945405, 3.523268187509937, 3.5729700331684375, 3.433238187016348, 3.7219856267644715, 3.729716126706538, 3.682771496814767, 2.8892080085537017, 3.2322458569448544, 3.392899860877025, 3.4419049730362015, 3.532604499909252, 3.7121310146863675, 3.5517003888657985, 3.6337521911859554, 3.6902905997852, 3.696889106922953, 3.6760417581090032, 3.047466721779765, 3.7021093077681466, 3.6875450105579173, 3.7386228623824436, 3.7306477674636733, 3.5764233394379166, 2.4436426484506746, 3.3656508023793696, 2.7705436295561525, 3.388747979611031, 3.0067635743679237, 3.2498348763316627, 3.4128622480779627, 3.4063482489405827, 2.999033342879075]"
brentwoodplanfor00millrich.txt,129175,1,0,0,3.714378262,"[3.993906125599506, 4.004315877319936, 3.9764408890465086, 4.038060861484982, 3.7236965688137778, 3.912940039628672, 3.7703731020515407, 3.9793569294054207, 3.738767236409543, 4.03494976582129, 3.630958077096139, 3.8810124596044773, 4.024718784695976, 3.833804797878259, 3.8434080074055563, 3.723087940743609, 4.020295358144403, 3.9089787443696875, 3.9962808694606125, 4.018644695730799, 3.8871809353562763, 4.044214939610203, 4.019919431584708, 3.4640479830272337, 1.2851973992196188, 4.005928071555613, 4.03595640665269, 3.2684870188715567, 3.8367825861711586, 4.031547972989528, 4.034015412415936, 2.9975004206479055, 3.7379966741608492, 3.764594368223497, 3.7461860425144353, 3.698555294883375, 3.674543309424367, 3.517470154339701, 2.6786804625578347, 3.332668075237811, 3.1740386506854876]"
charactersocials00gert.txt,1000376,0.98550725,0,0,0.908180595,"[1.060137114405639, 0.8714182864755997, 0.9682130907433061, 0.8816502710380865, 0.8307112830292297, 0.6696293002431873, 0.8577417282698467, 1.023342987247822, 0.8798008407733214, 0.8548900471845772, 0.8792790318316328, 0.8605462041496247, 1.0485614538724837, 0.8328709319037575, 0.8554802681799907, 1.0035845618232153, 0.8406958779281817, 0.8391326628847185, 0.9175907170285548, 0.9116635135640914, 1.0275280043423125, 0.7974621388288894, 0.7567265629913849, 0.802837503596649, 0.8919093629344211, 0.8089777672512444, 1.0277662865554589, 0.7639745474841884, 1.0481851177090022, 0.8077104222239553, 1.033911424111295, 0.7792283280528896, 0.8620495873757865, 0.9723474926852641, 0.9335525354083429, 0.9495458202260442, 1.0038767069254035, 0.9887910587599452, 1.017387404369529, 1.0261180003893113, 1.0485781559578313]"
