,perplexity,prediction,percentage,entropy_rate,rates
15,84.79,Human,8.64,0.3696041936190947,"[0.739332001818091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7612259636807371, 0.8122723282463243, 0.7271885907021093, 0.0, 0.0, 0.0, 0.6244870547491198, 0.0, 0.0, 0.0, 0.7488370492710503, 0.0, 0.0, 0.0, 0.7700188430206554, 0.0, 0.0, 0.0, 0.804297216859979, 0.7643250077181032, 0.7562780110902609, 0.7446813556746882, 0.0, 0.0, 0.0, 0.818288193733265, 0.0, 0.7198299402004156, 0.8165333525242199, 0.7315114670445644, 0.7493785050682958, 0.7387537762024208, 0.7932846360400128, 0.7402417678553597, 0.7930068768832083]"
16,68.11,Human,2.87,0.512840777210195,"[0.8462085547254432, 0.684005931081217, 0.6986971159437363, 0.8782114606906422, 0.0, 0.0, 0.0, 0.7660616622354481, 0.0, 0.9279562636635639, 0.7090875918091335, 0.6699652036601046, 0.7043377642219775, 0.0, 0.6899804996964076, 0.6980262897550996, 0.0, 0.0, 0.7141004212870056, 0.920924146861698, 0.7703547934374534, 0.0, 0.9508768768483326, 0.8481570975339585, 0.6791439380513775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6746001506567465, 0.6751103888435089, 0.7029165381696365, 0.750694229307465, 0.7378124753495352, 0.9531589129667665, 0.8014059731608977, 0.95808728412489, 0.8828371296469414, 0.7337531718890119]"
17,75.28,Human,3.22,0.4126528339998827,"[0.6465725293663724, 0.0, 0.0, 0.0, 0.7761510053492238, 0.8248380723452052, 0.7061287521785968, 0.8648490925444571, 0.0, 0.0, 0.6189877026560515, 0.6568762744426292, 0.0, 0.0, 0.0, 0.0, 0.6860436471619134, 0.0, 0.0, 0.6764821053026059, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7295739620571242, 0.8154035954794943, 0.6968504247305046, 0.0, 0.7701702971969984, 0.7098859253594142, 0.677430654043614, 0.8009597831081802, 0.8880477202992056, 0.828117800241533, 0.7214259273511614, 0.6719658708448796, 0.6336857327540799, 0.7178188407682111, 0.80050047841374]"
18,77.97,Human,1.19,0.5447517802117461,"[0.8508089153303997, 0.0, 0.0, 0.5577989675080975, 1.0299300415033732, 0.6300740432266279, 0.7995128797853173, 0.0, 0.0, 0.8304875223722668, 0.6106931582909788, 0.7792417437463811, 0.6194506076142822, 0.37123228869509417, 0.0, 0.9017966457218478, 0.0, 0.0, 0.0, 0.7107416066998222, 0.995871746788848, 0.0, 0.0, 0.990437361429387, 0.0, 0.0, 0.7835741836885286, 1.0113299743354978, 0.7208250417552974, 0.0, 1.0386994795683784, 0.37608944812742273, 0.8256960709804924, 0.8329903214795379, 0.8858231344549781, 0.7724497121214999, 0.8567821612923358, 1.0124392563349771, 0.8776302617585062, 0.8944556551129531, 0.7679607589584548]"
19,27.62,Human,3.84,0.4236469101285927,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8382104781456924, 0.0, 0.6403774605187678, 0.0, 0.7734191689040721, 0.0, 0.6990278762782941, 0.778430998747154, 0.0, 0.7471178790419278, 0.0, 0.7871482423435725, 0.0, 0.884363331611813, 0.8090051357492648, 0.0, 0.0, 0.7950903415165715, 0.0, 0.0, 0.7992592548196521, 0.8244632684546029, 0.0, 0.7602037270309733, 0.0, 0.8732702029011619, 0.7550320395116416, 0.7295619824243846, 0.7553107716097957, 0.8087595324180378, 0.8334745347355442, 0.776747508706854, 0.8360724125108611, 0.865177167291664]"
20,78.45,Human,1.69,0.41700120448527644,"[0.797784865032138, 0.0, 0.0, 0.0, 0.0, 0.595929867102713, 0.887522394489352, 0.0, 0.7939536889783049, 0.8067398313782473, 0.8579756012151353, 0.0, 0.0, 0.8874918018098784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8910933851745134, 0.0, 0.0, 0.834362346569458, 0.0, 0.0, 0.8124304983548625, 0.8382769336009833, 0.7689875659438851, 0.0, 0.0, 0.7900468310529841, 0.8425239016192526, 0.7398221095235584, 0.9028617870739674, 0.8070666921698767, 0.7594122657843422, 0.8245799978573296, 0.8641020957010171, 0.7940849234645364]"
21,63.71,Human,5.09,0.34860794784010674,"[0.0, 0.0, 0.7599160824952619, 0.0, 0.0, 0.0, 0.8650965424073624, 0.0, 0.0, 0.672361120979967, 0.0, 0.7031221942369094, 0.0, 0.0, 0.0, 0.8230827777969695, 0.0, 0.0, 0.9008405904333224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7168349114026995, 0.0, 0.0, 0.0, 0.9268457026999787, 0.7603509751382891, 0.0, 0.835640578647046, 0.8588816450305609, 0.7379110031971632, 0.7920898093681601, 0.7880507297759637, 0.9191301718225873, 0.6994652531809082, 0.8418636528736702, 0.6914421199575549]"
22,78.93,Human,6.76,0.3855182829191321,"[0.0, 0.7138678227270675, 0.7390481413472229, 0.0, 0.0, 0.7394839575914549, 0.0, 0.8558156416221678, 0.0, 0.5924661333234295, 0.0, 0.0, 0.8223610348706133, 0.0, 0.7822194278316961, 0.0, 0.0, 0.7409682671967577, 0.0, 0.7580596909281758, 0.765512627662784, 0.0, 0.6600420875249327, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7672060369526055, 0.0, 0.7371896389462368, 0.7736990519481104, 0.82185060746399, 0.7292405755143114, 0.6756527720269572, 0.8650249922198381, 0.7921589766419154, 0.7587290929815229, 0.715653022362625]"
23,37.94,Human,7.98,0.4617281219275218,"[0.0, 0.6605477145884038, 0.0, 0.7302178969134197, 0.8031190918633335, 0.8559007550053176, 0.6292034008688264, 0.0, 0.0, 0.0, 0.0, 0.7726527669612338, 0.6635318891129008, 0.0, 0.9027541410524702, 0.0, 0.0, 0.6646334156698609, 0.6005624529991832, 0.8743699032239494, 0.0, 0.0, 0.7262837971287297, 0.0, 0.8252013911474062, 0.0, 0.0, 0.0, 0.8373663303830585, 0.7493442813243735, 0.6283612428759369, 0.0, 0.8071029351221682, 0.8480435448502822, 0.761465926959769, 0.8614182387158811, 0.6806876958301448, 0.6261498675683953, 0.8301931266809124, 0.7910512393685278, 0.8006899528139064]"
24,77.44,Human,6.3,0.4621832981871237,"[0.0, 0.0, 0.0, 0.0, 0.242292215913509, 0.0, 0.6571731836355493, 0.0, 0.9351004163623426, 0.0, 0.9739693540335903, 0.6477471463922623, 0.6331305574063842, 0.0, 0.5342300622943745, 0.0, 0.0, 0.0, 0.8669877014163134, 0.625597207909296, 0.8627866655493682, 0.0, 0.23519334199996628, 0.0, 0.8283336186814964, 0.0, 0.0, 0.8864332415557704, 0.6877997990954307, 0.8081050124780365, 0.7360426411648101, 0.5363048813866669, 0.7314367622725039, 0.855060016739477, 0.9615172432726481, 0.7262009898966376, 0.8440114393175703, 0.6409550728993473, 0.8947115164627439, 0.9323658356451701, 0.666029301890804]"
