fpr,tpr_upper,tpr_lower,tpr
0.0,0.0026437696614783806,0.0,0.0
0.01,0.09422892599855495,0.06721430640070442,0.07959539461736853
0.02,0.16124698413652047,0.12592019090624781,0.14262183840929363
0.03,0.2096192539761017,0.16938419348471878,0.18867758689572514
0.04,0.25610513457496986,0.21272794663968198,0.23370583870783634
0.05,0.30231358275730574,0.25634012248076904,0.2787340905199476
0.06,0.3403039927992823,0.29270697494552855,0.31600479424690375
0.07,0.3746385853587769,0.3257811103628888,0.34979738599395016
0.08,0.40811827008253926,0.3581706004522513,0.3828302037554936
0.09,0.4340791914450205,0.3836497375389256,0.4086062137200068
0.1,0.4598978515949972,0.4089794607819392,0.43425465911494454
0.11,0.4856308858600416,0.4344015909730997,0.45990310450988225
0.12,0.5112649273802771,0.45987162360886846,0.4855275891152838
0.13,0.5362221940217611,0.4848113490271323,0.5105382026416786
0.14,0.5602467556846628,0.5089422286804071,0.534682139008947
0.15,0.5819145335508479,0.5307760790072592,0.5564830400241022
0.16,0.601797264861027,0.5509610301229217,0.576577615058651
0.17,0.6216983509428216,0.5711588700572947,0.5966721900931997
0.18,0.6414989736642452,0.5914318235830112,0.6167667651277484
0.19,0.6605595601991234,0.6110417968105664,0.6361571596317921
0.2,0.6764096458933083,0.6272982811404003,0.6522459343204399
0.21,0.6921668722448967,0.6436290349822106,0.6683347090090875
0.22,0.7079174635790637,0.6599730570310046,0.6844234836977353
0.23,0.7236446945329466,0.6763421153614796,0.7005122583863831
0.24,0.7385023482718347,0.6920351008505119,0.7158353975229724
0.25,0.75208831220759,0.7063869696716717,0.7298441869756292
0.26,0.7655583672031545,0.7205387851555355,0.7436880188218582
0.27,0.778558582426836,0.7343643334087109,0.757137979878691
0.28,0.7908299173254167,0.7474919961894156,0.76987324301747
0.29,0.801673216797436,0.758930725369742,0.7810377164423968
0.3,0.8122086475526497,0.7702444298325478,0.7919913975569742
0.31,0.8229059599695531,0.7814202750606186,0.8029450786715516
0.32,0.8333055768049454,0.7928575445756837,0.813898759786129
0.33,0.8437324346448174,0.8042750688721387,0.8248524409007065
0.34,0.8529209096906594,0.814525503692273,0.8346035830449788
0.35,0.8607371712043564,0.8230896731494003,0.8428149497439232
0.36,0.8685390076845197,0.8316685000129439,0.8510263164428675
0.37,0.8762981059575112,0.8402876462931981,0.8592376831418118
0.38,0.8839579126274278,0.8489912847013653,0.8674450406347827
0.39,0.8918360974208203,0.8574867920582662,0.8756463888902937
0.4,0.899497782699649,0.8661813287139094,0.8838477371458048
0.41,0.9071568299441071,0.8748806158846756,0.8920490854013159
0.42,0.9138792522155161,0.8828794062018892,0.8994353442535624
0.43,0.9184238352661656,0.8879585301332327,0.9042574573594124
0.44,0.922839437558435,0.8930575294006802,0.9090274752733996
0.45,0.9272763083194419,0.8981375416786025,0.9137974931873867
0.46,0.931764670539134,0.9031702029601139,0.9185675111013737
0.47,0.9361465155950356,0.9083030087551465,0.9233375290153608
0.48,0.9403796900784761,0.9135762746141165,0.9281075469293478
0.49,0.9444319714364238,0.9184573481401597,0.9325869837550871
0.5,0.9484128539929334,0.9230073016748462,0.9368608517236943
0.51,0.9523210923249931,0.9276263821535302,0.9411347196923014
0.52,0.956185479655487,0.9322877292732156,0.9454085876609086
0.53,0.9600250675442386,0.9369735202337167,0.9496824556295158
0.54,0.9639265111669985,0.9416014304448248,0.9539563235981229
0.55,0.9673782632445157,0.9466592893081452,0.9582301915667301
0.56,0.9701881545272514,0.950094055829887,0.9613594784524466
0.57,0.9728221767722562,0.9533180941646322,0.9642948461845785
0.58,0.9754379469501306,0.9565600888192025,0.9672302139167104
0.59,0.977777497823989,0.9600683635558493,0.9701655816488423
0.6,0.9801579997046271,0.9631366596520058,0.9728963339231019
0.61,0.9823881609243893,0.9663100567429187,0.975606367596979
0.62,0.9841019913588394,0.9684263365626484,0.9775247868496669
0.63,0.9857264160267589,0.9706161402634503,0.9794364666330535
0.64,0.9872380493962654,0.9729157461024008,0.9813481464164401
0.65,0.988935311451009,0.9750356329210185,0.9832598261998265
0.66,0.9906970571168565,0.9770930218604394,0.9851715059832131
0.67,0.9915342976818683,0.9793559433923876,0.9867310931950783
0.68,0.9927254112411635,0.9810635408948428,0.9881836174470819
0.69,0.9937131727871179,0.9829702654491345,0.9896361416990856
0.7,0.9950677042809548,0.9845186699785524,0.9910886659510892
0.71,0.9959476714592469,0.9865322065969563,0.9925411902030928
0.72,0.9968640148084265,0.9882342873901008,0.9938540093351393
0.73,0.9973938054158079,0.9892911739773901,0.9946495871620722
0.74,0.9977441542847795,0.9899029618402481,0.9951317117683631
0.75,0.9980222171577378,0.9904517089393574,0.9955461729947731
0.76,0.9982951424934472,0.9910055935757158,0.9959606342211831
0.77,0.9985623114715433,0.9915652345696874,0.9963750954475931
0.78,0.9988229693900147,0.9921313866232836,0.996789556674003
0.79,0.9992374306164247,0.9925458478496936,0.997204017900413
0.8,0.9994906410110848,0.9931194474271011,0.997618479126823
0.81,0.9994906410110848,0.994061517151998,0.9980246462865251
0.82,0.9996564817291255,0.9943634307177881,0.9983265598523152
0.83,0.999657832748475,0.9947774896460498,0.998535321066497
0.84,0.9998356092643715,0.9949552661619464,0.9987130975823936
0.85,1.0,0.9951330426778431,0.9988908740982902
0.86,1.0,0.9953534993138795,0.9990686506141869
0.87,1.0,0.9959557063396025,0.9992382807297909
0.88,1.0,0.9961016312297344,0.9993842056199228
0.89,1.0,0.9962475561198663,0.9995301305100547
0.9,1.0,0.9966288820978223,0.9996231522173392
0.91,1.0,0.9966726595648618,0.9996669296843788
0.92,1.0,0.9967164370319014,0.9997107071514183
0.93,1.0,0.9967602144989409,0.9997544846184578
0.94,1.0,0.9968039919659806,0.9997982620854975
0.95,1.0,0.9968477694330201,0.999842039552537
0.96,1.0,0.9968915469000597,0.9998858170195766
0.97,1.0,0.9969353243670992,0.9999295944866161
0.98,1.0,0.9969791018341387,0.9999733719536557
0.99,1.0,0.9973562303385218,1.0
1.0,1.0,0.9973562303385218,1.0
