metric,x,mean,ci_lo,ci_hi,err_lo,err_hi,alpha,pct,n
Nero,0,87.93217802628739,87.0935007948505,88.77085525772428,0.8386772314368898,0.8386772314368898,0.01,99,381
Perplexity,1,87.32640622291933,86.3440896376578,88.30872280818086,0.982316585261529,0.982316585261529,0.01,99,381
Percentage,2,92.61601148266051,91.49202946499845,93.73999350032257,1.1239820176620583,1.1239820176620583,0.01,99,381
