fpr,tpr_upper,tpr_lower,tpr
0.0,0.0,0.0,0.0
0.01,0.08014180470528412,0.059646305948041295,0.06989405532666271
0.02,0.20193438847327053,0.17063771276275055,0.18628605061801054
0.03,0.2953631120371037,0.2593749691871458,0.27736904061212475
0.04,0.33012017026891244,0.29289336710601394,0.3115067686874632
0.05,0.3871707243446236,0.3484090284511387,0.36778987639788113
0.06,0.4227457651231185,0.3833166245178468,0.40303119482048266
0.07,0.4582148993653827,0.4183301271207857,0.4382725132430842
0.08,0.49682541168267436,0.45667664835264055,0.47675103001765745
0.09,0.5301714926510382,0.4899874243589676,0.5100794585050029
0.1,0.5408263078879424,0.50066868916915,0.5207474985285462
0.11,0.5514719500693114,0.5113591270348675,0.5314155385520895
0.12,0.575182181600211,0.5352357112779527,0.5552089464390818
0.13,0.5882418667406388,0.548426761864423,0.5683343143025309
0.14,0.6012873036299816,0.5616320607019784,0.58145968216598
0.15,0.6143183191284133,0.5748517809304449,0.5945850500294291
0.16,0.635693156380827,0.5966003496030852,0.6161467529919561
0.17,0.6440453894355265,0.6051207867465414,0.6245830880910339
0.18,0.6606339352533979,0.622081387485468,0.641357661369433
0.19,0.6688702137303686,0.6305215853671398,0.6496958995487542
0.2,0.6854903911008685,0.647593240982175,0.6665418160415217
0.21,0.6938737833916234,0.6562252053183127,0.6750494943549681
0.22,0.7022500956391574,0.6648642496976717,0.6835571726684145
0.23,0.7106191774623197,0.6735105245014023,0.692064850981861
0.24,0.7189808655480902,0.6821641930425245,0.7005725292953073
0.25,0.7273349825059232,0.6908254327115844,0.7090802076087538
0.26,0.7356813355655345,0.699494436278866,0.7175878859222002
0.27,0.7440197150926372,0.708171413378656,0.7260955642356466
0.28,0.7523498928919377,0.7168565922062484,0.734603242549093
0.29,0.7606716202602557,0.7255502214648231,0.7431109208625394
0.3,0.777601789730289,0.7432928541778921,0.7604473219540906
0.31,0.7830541396845211,0.7490235530759263,0.7660388463802237
0.32,0.7885023486203794,0.7547583929923339,0.7716303708063567
0.33,0.7939463100820876,0.7604974803828919,0.7772218952324897
0.34,0.7993859106103473,0.7662409287068982,0.7828134196586227
0.35,0.8048210291298419,0.7719888590396697,0.7884049440847558
0.36,0.8140867827691732,0.78180996321586,0.7979483729925166
0.37,0.8179196050167736,0.7858809499315154,0.8019002774741445
0.38,0.8217499485298929,0.7899544153816518,0.8058521819557724
0.39,0.825577756000975,0.7940304168738251,0.8098040864374001
0.4,0.8294029670896789,0.798109014748377,0.813755990919028
0.41,0.8332255182017624,0.8021902725995492,0.8177078954006558
0.42,0.8407974215270296,0.8102914542822698,0.8255444379046497
0.43,0.844546726218924,0.8143114256351077,0.8294290759270159
0.44,0.848293181120476,0.818334246778288,0.833313713949382
0.45,0.8520367066153383,0.8223599973281579,0.8371983519717481
0.46,0.8557772183081713,0.8263887616800569,0.8410829899941141
0.47,0.8595146266203141,0.8304206294126465,0.8449676280164803
0.48,0.8632488363398543,0.8344556957378386,0.8488522660388464
0.49,0.8669797461196429,0.8384940620027821,0.8527369040612125
0.5,0.8707072479156815,0.8425358362514755,0.8566215420835785
0.51,0.8766864164082742,0.8490345959519379,0.862860506180106
0.52,0.878940238119384,0.8514894263891504,0.8652148322542672
0.53,0.8842170965875716,0.8572484713935938,0.8707327839905827
0.54,0.8872388684176008,0.8605539508878731,0.873896409652737
0.55,0.8902578908113004,0.863862179818482,0.8770600353148912
0.56,0.8932740723747495,0.867173249579341,0.8802236609770453
0.57,0.8962873156983833,0.8704872575800158,0.8833872866391995
0.58,0.8992975167880186,0.8738043078146889,0.8865509123013537
0.59,0.9023045644243368,0.8771245115026791,0.889714537963508
0.6,0.9053083394394833,0.8804479878118411,0.8928781636256622
0.61,0.9083087138972635,0.8837748646783691,0.8960417892878163
0.62,0.911305550160721,0.88710527973922,0.8992054149499705
0.63,0.9142986998275531,0.8904393813966964,0.9023690406121248
0.64,0.919232375137799,0.8959530280405411,0.90759270158917
0.65,0.9211749918831347,0.8981304819249878,0.9096527369040612
0.66,0.9231157985040962,0.9003097459338084,0.9117127722189523
0.67,0.9250547376120415,0.9024908774556453,0.9137728075338434
0.68,0.9269917484085011,0.904673937288968,0.9158328428487346
0.69,0.9313340094829617,0.9095834419590628,0.9204587257210123
0.7,0.933737912343353,0.9123112342134451,0.923024573278399
0.71,0.936138321125428,0.9150425205461433,0.9255904208357857
0.72,0.9385350687430023,0.9177774680433426,0.9281562683931724
0.73,0.9409279732131726,0.9205162586879456,0.9307221159505591
0.74,0.9433168357182132,0.9232590912976785,0.9332879635079459
0.75,0.9457014383296397,0.9260061838010253,0.9358538110653325
0.76,0.9480815413194509,0.9287577759259876,0.9384196586227193
0.77,0.950456879963032,0.9315141323971798,0.9409855061801059
0.78,0.9528271607109164,0.9342755467640689,0.9435513537374927
0.79,0.9551920565698881,0.9370423460198705,0.9461172012948793
0.8,0.9575512014839204,0.9398148962206118,0.9486830488522661
0.81,0.9599041834364416,0.9425936093828639,0.9512488964096527
0.82,0.962250535898785,0.945378952035294,0.9538147439670395
0.83,0.964589727112119,0.9481714559367332,0.9563805915244261
0.84,0.9669211464908888,0.9509717316727367,0.9589464390818128
0.85,0.9692440871413749,0.9537804861370242,0.9615122866391995
0.86,0.9715577230443991,0.9565985453487732,0.9640781341965862
0.87,0.9738610787632307,0.9594268847447152,0.9666439817539729
0.88,0.9761529884433087,0.9622666701794105,0.9692098293113596
0.89,0.9784320390737289,0.9651193146637638,0.9717756768687463
0.9,0.9806964899223488,0.9679865589299171,0.974341524426133
0.91,0.9829441546277838,0.9708705893392556,0.9769073719835197
0.92,0.985172222305593,0.9737742167762198,0.9794732195409064
0.93,0.9873769739831632,0.9767011602134231,0.9820390670982931
0.94,0.9895533080205005,0.9796565212908591,0.9846049146556798
0.95,0.991693888726473,0.9826476356996601,0.9871707622130665
0.96,0.9937874713579901,0.9856857481829163,0.9897366097704532
0.97,0.9958151507856162,0.9887897638700637,0.99230245732784
0.98,0.997740112789152,0.9919964969813012,0.9948683048852266
0.99,0.9994674442385968,0.9954008606466299,0.9974341524426134
1.0,1.0,1.0,1.0
