,perplexity,prediction,percentage,entropy_rate,rates
21,44.72,Human,100.0,0.7787302537488462,"[0.8300782800748071, 0.7281040336233842, 0.7290818543228634, 0.8594629215518688, 0.7883499822963239, 0.8128350235042479, 0.7358274750028224, 0.7338554901601901, 0.718335736109748, 0.6861530538072503, 0.750307236472455, 0.8012343050976092, 0.7514039376200101, 0.7329606200738346, 0.7391714037474432, 0.7209964891189555, 0.731576704254091, 0.7319873426926228, 0.7507867801350782, 0.8459747486303282, 0.7219961162775822, 0.7325678150112763, 0.7252396472075064, 0.7882582245871459, 0.7843714683484699, 0.744642709627092, 0.7375668054425961, 0.8965503051168792, 0.7317471790358574, 0.7272448327947411, 0.7997391466786755, 0.8346513933032758, 0.8593696062073354, 0.8981303146953687, 0.816516883830563, 0.7707909897728887, 0.7252258848294767, 0.8424578625480593, 0.8810553743682373, 0.899194418868458, 0.8321400068552721]"
22,35.83,Human,97.91,0.6405049014475418,"[0.7353753603810074, 0.0, 0.7798144089753659, 0.6143866833420223, 0.7763749367428787, 0.6499935917911526, 0.6550737378926496, 0.7451906768421839, 0.6728651580978392, 0.0, 0.7322414883924617, 0.6731004461821473, 0.6842522756084717, 0.7993327911332557, 0.7737807318990512, 0.7164867624400427, 0.6916434217487842, 0.0, 0.6504611895812116, 0.6709631391437355, 0.6540743978163148, 0.7491101868075273, 0.7755960490036243, 0.6660966851431082, 0.6952041490289346, 0.648059904031766, 0.0, 0.6587137398992675, 0.6945552004127223, 0.6795245450017463, 0.6504805968082278, 0.6848812239726071, 0.6742072941081714, 0.7071699496459009, 0.8263097529354749, 0.7496095860481873, 0.7186061773884737, 0.7794285275604345, 0.8040782583525488, 0.7237030713480254, 0.6999548638418848]"
23,51.21,Human,100.0,0.6723670899252149,"[0.7391942251001633, 0.7013384064902979, 0.6905566926953501, 0.6931392474478372, 0.7033298683949412, 0.0, 0.7111851692260984, 0.0, 0.7878141889388453, 0.6756704667932572, 0.7115388549103906, 0.6971811660498173, 0.7094087590667192, 0.0, 0.7080307059636561, 0.690911555741315, 0.703860703892942, 0.7024615051795627, 0.7060514262490815, 0.6990383677890674, 0.6689910748437088, 0.7819653142268957, 0.7963735264147741, 0.6897946138299356, 0.769872667139184, 0.6954575519522882, 0.7196847186845426, 0.6795430359566575, 0.723734643285546, 0.6731944140237206, 0.7021937730143686, 0.6909695845869719, 0.7637574268192697, 0.8339608851648399, 0.6856575960026454, 0.7935107453773884, 0.8301897462116598, 0.7415446448586354, 0.6964536426285803, 0.7750007276200641, 0.8244890443627925]"
24,47.73,Human,95.18,0.6163943816477628,"[0.5749575043249604, 0.5855010472801362, 0.555666931830076, 0.5679673202193228, 0.6017170199675619, 0.5660173657745065, 0.5944271945462843, 0.604881111590909, 0.6821445046296402, 0.570398807183314, 0.5606193717311984, 0.6172047906511791, 0.5886688491194532, 0.5795770544951597, 0.6056066321541912, 0.5707935413541648, 0.666343947886069, 0.6299447267928162, 0.5833581834523555, 0.6011709974251658, 0.6420418790902997, 0.5664385538822257, 0.646758650719907, 0.6251511144568948, 0.6187421729444011, 0.5647447448332287, 0.6023378533212665, 0.6647366203200452, 0.6019379935943461, 0.6062737624392601, 0.7062284848197773, 0.6392236297637096, 0.6563768963677757, 0.5919424824043517, 0.6610790332801559, 0.6785652593554491, 0.6701915691327283, 0.6440552378488232, 0.6446719612153685, 0.7026434716111434, 0.6310613737486441]"
25,63.91,Human,80.12,0.6961166744623757,"[0.6851863145162945, 0.6626669904144705, 0.6657081066169037, 0.6656853186898264, 0.717325422266051, 0.6763432125646537, 0.6492798700970458, 0.6441100408192375, 0.6477469903838526, 0.6259176768628602, 0.6675122775049122, 0.709594181771031, 0.6225674199352867, 0.752420729272434, 0.7349822116353475, 0.6340026747475347, 0.645614202865883, 0.6922903640618311, 0.6328360294319828, 0.7181788886920066, 0.6692061014598741, 0.7421717713022712, 0.6742351732585633, 0.6602426253652239, 0.7554523239468883, 0.766772679318285, 0.6418387571756837, 0.6838463713901681, 0.6801725541338989, 0.6731639106270619, 0.7555991069542316, 0.7565449710505756, 0.719608311738608, 0.7562604749690744, 0.7317680189920921, 0.7404308666275641, 0.731841862500388, 0.750670872890563, 0.7412273689940648, 0.7353368991851809, 0.7244237079277]"
26,69.15,Human,59.26,0.7800397134554891,"[0.8355651296368375, 0.7447083941777327, 0.7532499803600794, 0.8400600418673901, 0.8505258258813491, 0.7394488583664774, 0.8412179212735418, 0.7332746678917459, 0.8350192559295647, 0.7358468105679128, 0.7413464920260775, 0.7272144188931716, 0.782368036832597, 0.7458731675318477, 0.7658396225083169, 0.7363725491602623, 0.7821684261680701, 0.7423750355356329, 0.7506328354766892, 0.7330217449563309, 0.7410512581289436, 0.7573679516018385, 0.7445538240518105, 0.8035003469230432, 0.7307781429448609, 0.7323208314127579, 0.8635363788063135, 0.7379107296066749, 0.730612054375478, 0.7591963872757798, 0.7468791453602808, 0.7448841217252, 0.8797525832265124, 0.90628107237509, 0.84509909850918, 0.8424836246918931, 0.8547424283806435, 0.7744700099030568, 0.7482080859307148, 0.8306255956320724, 0.7912453657712837]"
27,51.49,Human,81.91,0.7016735030006507,"[0.7530584116548555, 0.7614162514624837, 0.6668800631113142, 0.6522782115099729, 0.7181923725393999, 0.7090652977639619, 0.6180979170114671, 0.6103283102858976, 0.654664316589356, 0.6931592026226314, 0.6622083872705549, 0.6299957245792662, 0.7440269290820045, 0.7119973461587815, 0.6170674064179094, 0.656059271578975, 0.6771688481194509, 0.7586654656869257, 0.6172713438380841, 0.776131015110582, 0.6488068710880615, 0.6459248975935609, 0.6145809202579002, 0.6242323501974754, 0.773883704145577, 0.7952153111438868, 0.6365878758089245, 0.7205165487669412, 0.8014853006785595, 0.6170474430950267, 0.6434822098549896, 0.6461380306790426, 0.7864075163841113, 0.7589021454025218, 0.7455090493244249, 0.7380143356072484, 0.7625751310619102, 0.7912214740841724, 0.8086298036790437, 0.711691695800804, 0.8100289159786169]"
28,58.61,Human,40.19,0.6918183358486462,"[0.673895818894963, 0.7522579099767118, 0.7822789715540118, 0.7744466932030039, 0.727402679728767, 0.6549722944344046, 0.6484621792993422, 0.6544521095147955, 0.6601895496733801, 0.71917045098524, 0.6960970837203827, 0.6477714162159962, 0.6556819632900391, 0.6397416477908707, 0.7659464571675443, 0.661300367802631, 0.653898090796731, 0.718172351002503, 0.6523697560699628, 0.7062697030372163, 0.7090157415476663, 0.6534934749694237, 0.7386916630908964, 0.7476024134985075, 0.6416578745189975, 0.6365290799882952, 0.6669894567296478, 0.7602143398340441, 0.6441313490439058, 0.6713112279992159, 0.6689541580686157, 0.7066587855036388, 0.6876146257045926, 0.7447699924076665, 0.6634946791254638, 0.6775981588908906, 0.7292133896691908, 0.677187857227477, 0.7063270457196098, 0.7027794634421672, 0.6855394986560795]"
29,53.18,Human,98.76,0.6085210741128781,"[0.6622837493834337, 0.8732516647940284, 0.6850032905902684, 0.6457216806801552, 0.670171308810623, 0.7233353312628504, 0.806650129668478, 0.6533254283824003, 0.713269658528828, 0.6521378574731961, 0.0, 0.0, 0.6596989845454612, 0.6670216253448633, 0.6806060178432533, 0.8307004496837176, 0.0, 0.8334023744702782, 0.7484527383170536, 0.6808296935845572, 0.6818137376548488, 0.0, 0.8593335731031384, 0.6474802259060622, 0.0, 0.6849204975289557, 0.0, 0.6532881992470885, 0.70683141293997, 0.6931786424660107, 0.7565852342106966, 0.0, 0.8352908128488848, 0.9174785020411117, 0.6896123473521931, 0.8416818332744651, 0.7432453976806598, 0.7349609628685723, 0.8096589293698015, 0.7493629994245582, 0.7587787473475375]"
30,46.07,Human,100.0,0.44770843357368034,"[0.7295739620571242, 0.6612516912023056, 0.0, 0.0, 0.0, 0.7715112524413816, 0.0, 0.7087168898694438, 0.6834556835709205, 0.7069105384283537, 0.6833951987835004, 0.7655822004232269, 0.6972082306330168, 0.7386017733125596, 0.0, 0.0, 0.6133568018673662, 0.0, 0.7535625780228479, 0.0, 0.0, 0.0, 0.0, 0.7025570631931872, 0.7170215268472308, 0.0, 0.0, 0.0, 0.7382733533059781, 0.713355855238593, 0.6555102755042662, 0.0, 0.7686013246603948, 0.691914622954819, 0.6960785045365311, 0.7100567713271773, 0.7008857282922816, 0.701056247496007, 0.6427087901261381, 0.6998699055285037, 0.705029006897735]"
