fpr,tpr,ppv,acc,npv,LR+,LR-
0.0,0.0,0.9542129593221881,0.5,0.5,13.9330526774095,1.0
0.01,0.20703806951432466,0.9539251338607213,0.5985190347571623,0.5552558263149937,20.703806951432465,0.8009716469552276
0.02,0.31762863337201835,0.9407633179678726,0.6488143166860092,0.5895192973564445,15.881431668600918,0.6962973128856955
0.03,0.37095910658412123,0.9251794023196578,0.6704795532920607,0.6066136294537667,12.365303552804042,0.6484957664081225
0.04,0.4252932032610858,0.9140327008439983,0.6926466016305428,0.6255266491553279,10.632330081527144,0.5986529132697024
0.05,0.5094625578579657,0.9106285142808542,0.7297312789289828,0.6594760901093828,10.189251157159314,0.5163552022547729
0.06,0.5385819967294597,0.8997631062614165,0.7392909983647298,0.6707491967466436,8.976366612157662,0.4908702162452556
0.07,0.5679866357892743,0.890279833348859,0.7489933178946371,0.6828126833681448,8.114094796989633,0.46453049915131794
0.08,0.5976906358011187,0.8819520356726938,0.7588453179005594,0.695752465276823,7.471132947513984,0.43729278717269704
0.09,0.6546861033809945,0.8791437095557637,0.7823430516904972,0.7249182873311167,7.274290037566606,0.3794658204604456
0.1,0.6819527618458151,0.8721150370209729,0.7909763809229076,0.7388875996006936,6.81952761845815,0.35338582017131653
0.11,0.7095418537821718,0.8657786670780121,0.799770926891086,0.7539445619919248,6.450380488928835,0.32635746766048107
0.12,0.7374915259155291,0.860056926076467,0.8087457629577646,0.7702349872767223,6.145762715962743,0.2983050841868987
0.13,0.77780777773125,0.8567978781533576,0.8239038888656249,0.7965630795216592,5.983136751778845,0.25539335892959775
0.14,0.7898525323488567,0.8494384914494424,0.8249262661744283,0.803627561617845,5.641803802491832,0.2443575205245853
0.15,0.8111711876435874,0.8439403907146439,0.8305855938217936,0.818229134472998,5.407807917623916,0.2221515439487207
0.16,0.8241274544059153,0.8374194325301222,0.8320637272029576,0.8268753827861014,5.15079659003697,0.2093720780881961
0.17,0.8278544691150662,0.829634475505469,0.8289272345575331,0.8282230219268427,4.869732171265095,0.20740425407823349
0.18,0.8315933896625554,0.8220628942029328,0.8257966948312777,0.8296180857390764,4.6199632759030855,0.20537391504566418
0.19,0.8353446364773954,0.8146964510852165,0.8226723182386977,0.8310629893550205,4.396550718302081,0.20327822657111674
0.2,0.8391086590821176,0.8075273473549269,0.8195543295410588,0.8325603176273891,4.195543295410588,0.20111417614735297
0.21,0.8428859389943038,0.8005481959417295,0.8164429694971519,0.8341128408136353,4.013742566639542,0.19887855823505854
0.22,0.8466769930132064,0.7937519966765832,0.8133384965066033,0.8357235321115758,3.8485317864236657,0.19656795767537638
0.23,0.8504823769559522,0.787132113484368,0.8102411884779761,0.8373955873199339,3.697749465025879,0.1941787312260361
0.24,0.8543026899210009,0.7806822534473292,0.8071513449605004,0.8391324469471034,3.559594541337504,0.19170698694605146
0.25,0.8581385791729375,0.7743964476116442,0.8040692895864687,0.8409378211521827,3.43255431669175,0.18914856110275005
0.26,0.861990745763189,0.7682690334284838,0.8009953728815945,0.8428157179769452,3.3153490221661115,0.18649899221190674
0.27,0.8658599510271479,0.762294638739713,0.7979299755135739,0.8447704754197009,3.2068887075079546,0.1837534917436331
0.28,0.8697470241310429,0.756468167237381,0.7948735120655215,0.8468067980169799,3.1062393718965815,0.18090691092910713
0.29,0.8736528708839858,0.7507847853460824,0.7918264354419928,0.8489297987433063,3.012596106496503,0.1779537029803017
0.3,0.8802669268091491,0.7458202096613434,0.7901334634045745,0.8539365104243213,2.9342230893638304,0.1710472474155013
0.31,0.8829654395225198,0.7401433522465861,0.7864827197612598,0.8549819720133957,2.848275611362967,0.16961530503982636
0.32,0.8856744249725793,0.7345883819280004,0.7828372124862897,0.8560721464577367,2.7677325780393103,0.16812584562855984
0.33,0.8883943157235117,0.7291517239194948,0.7791971578617558,0.8572097330896477,2.6921039870409444,0.16657564817386317
0.34,0.891125577356845,0.7238299599542394,0.7755627886784224,0.8583976531968925,2.6209575804613086,0.16496124642902282
0.35,0.8938687121292841,0.7186198217005864,0.7719343560646421,0.8596390738312335,2.553910606083669,0.16327890441648601
0.36,0.8966242631702478,0.7135181847501642,0.7683121315851239,0.8609374348554676,2.4906229532506883,0.16152458879648782
0.37,0.8993928193198906,0.7085220631717164,0.7646964096599453,0.8622964797766483,2.4307914035672717,0.1596939375874753
0.38,0.9021750207314195,0.7036286046321287,0.7610875103657098,0.8637202910265702,2.3741447913984723,0.15778222462674268
0.39,0.9049715653908698,0.6988350860952814,0.7574857826954349,0.8652133304923875,2.3204399112586405,0.15578431903136106
0.4,0.907783216745169,0.6941389101203438,0.7538916083725845,0.8667804862788447,2.2694580418629227,0.15369463875805162
0.41,0.9106108126781314,0.6895376017946265,0.7503054063390657,0.8684271269105149,2.221001982141784,0.1515070971557095
0.42,0.9134552761378056,0.6850288063530109,0.7467276380689029,0.8701591644732798,2.174893514613823,0.1492150411417144
0.43,0.9163176278028554,0.6806102875576655,0.7431588139014278,0.8719831285707262,2.130971227448501,0.1468111792932361
0.44,0.9191990012880961,0.6762799269400452,0.7395995006440481,0.873906253463517,2.0890886392911274,0.14428749769982846
0.45,0.9221006615411885,0.6720357240448049,0.7360503307705943,0.8759365814112553,2.049112581202641,0.14163516083420266
0.46,0.9250240272902285,0.6678757978661347,0.7325120136451142,0.8780830861091945,2.0109217984570185,0.13884439390698428
0.47,0.9279706986900625,0.6637983897370645,0.7289853493450313,0.8803558212977158,1.9744057418937502,0.13590434209422161
0.48,0.9309424917208076,0.6598018680303657,0.7254712458604038,0.8827661012573639,1.9394635244183491,0.13280290053690852
