fpr,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr,ppv,acc,npv,LR+,LR-,threshold
0.0,0.0,0.9634664715037617,0.5,0.5,19.363751019975904,1.0,0.7288829528095327,0.0,0.9767587775085224,0.5,0.5,36.1177282658484,1.0,0.7288829528095327,0.0,0.9504365072404628,0.5,0.5,65.19051793782624,1.0,inf
0.01,0.25849145313470295,0.9627548665581434,0.6242457265673514,0.571755768570871,25.849145313470295,0.7489985321871688,0.8180979650902789,0.38882997543672554,0.9749266589376843,0.6894149877183627,0.6182978601975929,38.88299754367255,0.6173434591548228,0.8180979650902789,0.32366071428571425,0.946580557788635,0.6580424783549784,0.5956762246760411,44.74888392857167,0.6813348991246244,0.8180979650902789
0.02,0.3705956323685761,0.9487961504363995,0.6752978161842881,0.6089209273380285,18.529781618428807,0.6422493547259427,0.7573970254350004,0.5088686533457096,0.9621834270693171,0.7444343266728548,0.6661539788603905,25.44343266728548,0.5011544353615208,0.7573970254350004,0.43973214285714285,0.942724608336807,0.7122903138528138,0.6380637185182712,31.434709821428573,0.5686466113507258,0.7573970254350004
0.03,0.45611719732488,0.9382864869519303,0.71305859866244,0.6407365208759573,15.203906577496,0.5607039202836289,0.6986412568049949,0.5952220883894056,0.9520170503296179,0.7826110441947027,0.7055685080535047,19.840736279646855,0.4172968160933963,0.6986412568049949,0.5256696428571428,0.9362980259170939,0.7489459325396826,0.672569047974193,20.05412946428573,0.4876170709350831,0.6986412568049949
0.04,0.5259956531395893,0.929328079150221,0.7429978265697946,0.6694540376406882,13.149891328489732,0.4937545279795945,0.6651640638909897,0.6627798570644923,0.9430831723506138,0.8113899285322461,0.7400440127514479,16.569496426612307,0.3512709822244872,0.6651640638909897,0.5943877551020408,0.928402510372875,0.7755488559059988,0.7053026976562956,14.872448979591859,0.42241692488513727,0.6651640638909897
0.05,0.5588888411709731,0.9178832052434341,0.7544444205854866,0.6829073248177134,11.177776823419462,0.46432753560950196,0.6511727355089284,0.6936621792371902,0.9327651702668442,0.8218310896185951,0.756166044116374,13.873243584743804,0.32246086396085244,0.6511727355089284,0.6262755102040817,0.9243629442804838,0.7875244794887652,0.7226270071991289,13.834183673469406,0.391299818356662,0.6511727355089284
0.06,0.5920951860601014,0.9079888929060886,0.7660475930300507,0.6973786207146178,9.86825310100169,0.4339412914254241,0.6371814071268671,0.7242313445521436,0.9234919639251801,0.8321156722760717,0.7731734123822507,12.070522409202393,0.29337091005091115,0.6371814071268671,0.6581632653061225,0.9203233781880927,0.7995001030715316,0.739951316741962,12.795918367346953,0.36018271182818673,0.6371814071268671
0.07,0.6256339154865292,0.8993723588778132,0.7778169577432645,0.7129900194751618,8.937627364093274,0.40254417689620514,0.6231900787448059,0.7544681253297972,0.9150967783357311,0.8422340626648985,0.7911312487897556,10.778116076139959,0.26401276846258365,0.6231900787448059,0.6900510204081632,0.9162838120957015,0.8114757266542981,0.7572756262847952,11.757653061224502,0.3290656052997115,0.6231900787448059
0.08,0.6595314033731194,0.8918233902778065,0.7897657016865598,0.7298872835562877,8.244142542163992,0.37007456155095714,0.6091987503627446,0.7843461476472886,0.9074444882785023,0.8521730738236444,0.8101060002517971,9.804326845591108,0.23440636125294717,0.6091987503627446,0.721938775510204,0.9122442460033104,0.8234513502370645,0.7745999358276283,10.719387755102048,0.29794849877123625,0.6091987503627446
0.09,0.6938236876214849,0.8851782595737758,0.8019118438107424,0.748246772065708,7.709152084683167,0.3364574861302363,0.5952074219806833,0.8138293736030049,0.9004236832431922,0.8619146868015024,0.8301627302230131,9.042548595588944,0.20458310593076384,0.5952074219806833,0.7538265306122449,0.9082046799109192,0.835426973819831,0.7919242453704616,9.681122448979597,0.266831392242761,0.5952074219806833
0.1,0.7489383304918424,0.882205813534107,0.8244691652459213,0.7818868648319817,7.489383304918424,0.2789574105646195,0.557580580043473,0.8594800368550963,0.8957768831462387,0.8797400184275481,0.8649521699514623,8.594800368550963,0.1561332923832263,0.557580580043473,0.8042091836734694,0.8971876814771254,0.8497957895279324,0.8212005993824292,7.88417977547556,0.21814450280831568,0.557580580043473
0.11,0.7595521783055136,0.8734981031105509,0.8247760891527568,0.7872986111521124,6.905019802777396,0.27016609179155776,0.5525682986516529,0.8679988421026495,0.8875254292085814,0.8789994210513248,0.8708405006419684,7.890898564569541,0.14831590774983197,0.5525682986516529,0.8137755102040816,0.8927808821036078,0.8502499484642342,0.8275081006427544,7.48734451335713,0.20913417720481964,0.5525682986516529
0.12,0.770220078225768,0.865201872059364,0.825110039112884,0.792950009938117,6.4185006518814,0.2611135474707182,0.5475560172598327,0.8764635952436197,0.8795741253641465,0.8782317976218099,0.8768989304514866,7.303863293696831,0.14038227813225032,0.5475560172598327,0.8233418367346939,0.8883740827300902,0.850704107400536,0.8338156019030797,7.0905092512387,0.20012385160132362,0.5475560172598327
0.13,0.7809454677413044,0.8572911281700145,0.8254727338706522,0.7988580683793884,6.007272828779264,0.2517868186881559,0.5425437358680125,0.8848708587893079,0.871904884376044,0.877435429394654,0.8831329453220701,6.806698913763907,0.13233234621918627,0.5425437358680125,0.8329081632653061,0.8839672833565727,0.8511582663368378,0.840123103163405,6.69367398912027,0.1911135259978276,0.5425437358680125
0.14,0.7917322862637433,0.849742246711873,0.8258661431318717,0.8050416472778698,5.655230616169594,0.24217176015843808,0.5375314544761923,0.8932166933280936,0.8645008342354148,0.8766083466640469,0.8895478377264274,6.380119238057811,0.12416663566500742,0.5375314544761923,0.8424744897959184,0.8795604839830551,0.8516124252731396,0.8464306044237303,6.296838727001839,0.1821032003943316,0.5375314544761923
0.15,0.8025850815061647,0.8425337506201233,0.8262925407530823,0.8115217618079046,5.350567210041098,0.23225284528686507,0.5325191730843722,0.9014965511468965,0.8573461797507649,0.8757482755734483,0.896148560163687,6.009977007645977,0.11588641041541585,0.5325191730843722,0.8520408163265306,0.8751536846095376,0.8520665842094414,0.8527381056840555,5.90000346488341,0.17309287479083554,0.5325191730843722
0.16,0.8186331446685347,0.8365066614883635,0.8293165723342673,0.8224273145493779,5.116457154178342,0.21591292301364923,0.5207570772147974,0.9135097124743226,0.850956169151728,0.8767548562371612,0.9066473888715424,5.709435702964516,0.10296462800675887,0.5207570772147974,0.8660714285714286,0.8681762522681347,0.8522276334776335,0.862289418619022,5.3631912442396334,0.15971984602224118,0.5207570772147974
0.17,0.8283603777255745,0.82972080644137,0.8291801888627872,0.8286413411994594,4.872708104268085,0.206794725631838,0.5093106032648681,0.920647558782362,0.844129298570297,0.875323779391181,0.9127374188258804,5.415573875190365,0.09560535086462406,0.5093106032648681,0.8745039682539683,0.86103560513512,0.8494293129709797,0.8681651424981759,5.049744897959186,0.1519375199744327,0.5093106032648681
0.18,0.8329611265822809,0.8223031513486426,0.8264805632911405,0.8307676851274048,4.627561814346006,0.2037059431923403,0.5046139437926938,0.9239833178621635,0.8369540580118859,0.8719916589310818,0.9151615325325576,5.133240654789797,0.09270327089980063,0.5046139437926938,0.8784722222222222,0.8564655909699906,0.8469241021324355,0.8707970547026888,4.876275510204084,0.14851789709172258,0.5046139437926938
0.19,0.8375775997831323,0.8150991224019489,0.8237887998915662,0.8329713505358941,4.408303156753328,0.20052148174921938,0.4999172843205193,0.92730335259782,0.8299477043917977,0.86865167629891,0.9176425472826595,4.880543961041158,0.08974894741009871,0.4999172843205193,0.8824404761904762,0.8518955768048614,0.8444188912938914,0.8734289669072015,4.702806122448981,0.14509827420901245,0.4999172843205193
0.2,0.8422104891707648,0.8081001850603806,0.8211052445853824,0.8352565892138198,4.211052445853824,0.197236888536544,0.49522062484834484,0.9306069711466954,0.823103868007152,0.8653034855733477,0.920182211554156,4.653034855733477,0.0867412860666307,0.49522062484834484,0.8864087301587301,0.847325562639732,0.8419136804553472,0.8760608791117143,4.529336734693879,0.14167865132630234,0.49522062484834484
0.21,0.8468605469219826,0.8012982880176506,0.8184302734609914,0.837627985365013,4.032669271057061,0.19384740895951563,0.49052396537617043,0.9338934213319857,0.816416463209073,0.8619467106659928,0.9227823026767682,4.447111530152313,0.08367921350381555,0.49052396537617043,0.8903769841269842,0.8427555484746027,0.8394084696168029,0.8786927913162271,4.355867346938776,0.1382590284435922,0.49052396537617043
0.22,0.8515285931858066,0.7946858334914716,0.8157642965929033,0.8400904909676926,3.870584514480939,0.19034795745409402,0.485827305903996,0.9371618830046696,0.8098796691879003,0.8585809415023349,0.925444618927126,4.2598267409303165,0.08056168845555176,0.485827305903996,0.8943452380952381,0.8381855343094733,0.8369032587782588,0.8813247035207399,4.182397959183675,0.13483940556088206,0.485827305903996
0.23,0.8562155250189807,0.78825565028084,0.8131077625094904,0.8426494661293016,3.7226761957346985,0.18673308439093417,0.4811306464318216,0.9404114591080035,0.8034879116996273,0.8552057295540018,0.928170969155474,4.088745474382624,0.0773877154441513,0.4811306464318216,0.8983134920634921,0.833615520144344,0.8343980479397146,0.8839566157252526,4.008928571428572,0.13141978267817195,0.4811306464318216
0.24,0.8609223268994839,0.7820009694272352,0.810461163449742,0.84531072535602,3.587176362081183,0.18299693829015276,0.4764339869596471,0.9436411651640082,0.7972358455725514,0.8518205825820041,0.9309631592983073,3.9318381881833675,0.074156361626305,0.4764339869596471,0.902281746031746,0.8290455059792147,0.8318928371011705,0.8865885279297655,3.8354591836734695,0.1280001597954618,0.4764339869596471
0.25,0.8692103682073462,0.7766282308477644,0.8096051841036731,0.8515086610108475,3.476841472829385,0.1743861757235384,0.46916256844126497,0.9492420127450347,0.7915349884818025,0.8496210063725174,0.9366125745071042,3.796968050980139,0.0676773163399537,0.46916256844126497,0.9092261904761905,0.8206195423622574,0.8270878427128427,0.8915286577805042,3.5774432617874736,0.12170614470620465,0.46916256844126497
0.26,0.8727836656628695,0.7704769163952799,0.8063918328314348,0.8533049605962851,3.356860252549498,0.17191396532044667,0.46658780939505723,0.9516210962418924,0.7854114617131983,0.8458105481209461,0.9386349589930791,3.6600811393918935,0.06537689697041568,0.46658780939505723,0.9122023809523809,0.8167635929104295,0.8247880591630592,0.8938368754267302,3.49289672765658,0.1188317524996576,0.46658780939505723
0.27,0.8763705761698115,0.7644740665779223,0.8031852880849057,0.8551720215131877,3.2458169487770796,0.16935537510984724,0.46401305034884954,0.9539865666873313,0.7794093437391689,0.8419932833436656,0.9407053649622464,3.533283580323449,0.06303210042831331,0.46401305034884954,0.9151785714285714,0.8129076434586018,0.8224882756132756,0.8961450930729561,3.4083501935256866,0.11595736029311057,0.46401305034884954
0.28,0.8799717529264636,0.7586148117024444,0.7999858764632317,0.8571140345676624,3.1427562604516552,0.16670589871324504,0.4614382913026418,0.9563377708830602,0.7735246737628919,0.8381688854415301,0.9428252079883163,3.415492038868072,0.06064198488463867,0.4614382913026418,0.9181547619047619,0.8090516940067739,0.8201884920634921,0.898453310719182,3.323803659394793,0.11308296808656354,0.4614382913026418
0.29,0.8835879084050811,0.7528945229214971,0.7967939542025405,0.859135541724406,3.046854856569245,0.16396069238720978,0.45886353225643406,0.9586739963568236,0.7677536323763332,0.8343369981784118,0.9449959093086266,3.3057724012304264,0.05820563893405127,0.45886353225643406,0.9211309523809523,0.805195744554946,0.8178887085137085,0.900761528365408,3.239257125263899,0.1102085758800165,0.45886353225643406
0.3,0.8899546106997118,0.7478895435989821,0.7949773053498559,0.8641491072551568,2.9665153689990396,0.1572076990004117,0.45085951003851166,0.9627239607288596,0.7624183833283433,0.8313619803644298,0.9494408643633787,3.2090798690961986,0.05325148467305776,0.45085951003851166,0.9263392857142857,0.7974838456512903,0.8129171176046177,0.9047484835918282,3.084381056690625,0.1052833587814688,0.45085951003851166
0.31,0.8952914910956628,0.7428008060372214,0.7926457455478313,0.8682428742977741,2.888037068050525,0.15175146218019891,0.441280375253147,0.9660530467194633,0.7570633910581049,0.8280265233597317,0.9531085072922714,3.1163001507079464,0.049198483015270515,0.441280375253147,0.930672268907563,0.7887890576716783,0.8065423138952551,0.9082198837889423,2.9575188086868813,0.10112161652982353,0.441280375253147
0.32,0.8978932264117836,0.7372511866719222,0.7889466132058918,0.8694465039347988,2.8059163325368237,0.1501570199826712,0.43713050363949707,0.9676529920756114,0.7514858413180238,0.8238264960378057,0.9545909401393567,3.0239156002362857,0.04756912930057148,0.43713050363949707,0.9327731092436975,0.7839502191438943,0.8028393175452,0.9100125464058619,2.900986095125518,0.09901069917017893,0.43713050363949707
0.33,0.9005047517763635,0.7318173704541895,0.7852523758881818,0.8707006333654181,2.728802278110192,0.14850037048303963,0.4329806320258471,0.9692431473833004,0.7460059722734532,0.8196215736916501,0.9561090947568329,2.937100446616062,0.045905750174178486,0.4329806320258471,0.9348739495798319,0.7791113806161102,0.7991363211951448,0.9118052090227815,2.8444533815641546,0.09689978181053434,0.4329806320258471
0.34,0.903126510307798,0.726496058783417,0.7815632551538989,0.8720083461615262,2.6562544420817584,0.14677801468515456,0.4288307604121971,0.9708230695241348,0.7406209824157051,0.8154115347620674,0.9576640929409534,2.8553619691886314,0.04420747041797762,0.4288307604121971,0.9369747899159664,0.7742725420883262,0.7954333248450897,0.9135978716397011,2.7879206680027915,0.09478886445088974,0.4288307604121971
0.35,0.9057589820007468,0.721284095900027,0.7778794910003735,0.8733729857397516,2.5878828057164194,0.14498618153731263,0.42468088879854715,0.9723922785034551,0.735328158149794,0.8111961392517275,0.9592570736420015,2.7782636528670146,0.042473417686992136,0.42468088879854715,0.939075630252101,0.7694337035605422,0.7917303284950344,0.9153905342566208,2.7313879544414283,0.09267794709124513,0.42468088879854715
