fpr,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,tpr,ppv,acc,npv,LR+,LR-
0.0,0.0,0.98195948734554,0.5,0.5,36.8056335462543,1.0,0.0,0.9894854088005424,0.5,0.5,53.73561671536092,1.0,0.0,0.9651509368676929,0.5,0.5,74.28578340419152,1.0
0.01,0.37684031467935525,0.9741495402094045,0.6834201573396776,0.6137024183090836,37.684031467935526,0.6294542275966108,0.5153165480657427,0.9809638587689256,0.7526582740328713,0.6713305141530367,51.53165480657427,0.4895792443780377,0.446078431372549,0.9606604448883509,0.7185143288084465,0.6477949079478083,54.52777777777826,0.5582916319154851
0.02,0.6502419363827141,0.9701600289174089,0.815120968191357,0.7369761664269563,32.51209681913571,0.3568959832829448,0.77622865185258,0.9748815871502915,0.87811432592629,0.8141080957843035,38.811432592629004,0.22833811035451015,0.7132352941176471,0.9533633954219201,0.844739819004525,0.7752801618482741,33.08680555555559,0.2931103817059386
0.03,0.6896862777192927,0.9583151701946147,0.8298431388596463,0.7576268090543269,22.98954259064309,0.3199110538976364,0.8103137222807073,0.9642990478382567,0.8901568611403536,0.8364331100887553,27.01045740935691,0.1955528636281368,0.75,0.9505568379348313,0.8602941176470589,0.7983939458802571,28.79861111111115,0.25672767585427353
0.04,0.7297131522953472,0.9480325886588831,0.8448565761476736,0.7803058301330887,18.242828807383678,0.2815487996923467,0.8438162594693587,0.9547417242312153,0.9019081297346794,0.8600734495053739,21.095406486733967,0.1626913963860847,0.7867647058823529,0.9477502804477426,0.8758484162895928,0.8215077299122401,24.510416666666707,0.22034497000260847
0.05,0.7897110589289411,0.9404557085817407,0.8698555294644705,0.8187615742705072,15.794221178578821,0.22135678007479884,0.8916614900906668,0.9469023629763327,0.9208307450453334,0.8976334047235847,17.833229801813335,0.11404053674666659,0.8406862745098039,0.9410145424787294,0.8960218702865762,0.8574282621879561,18.247395833333368,0.16703673876361405
0.06,0.8092020412896418,0.9309711699353841,0.8746010206448209,0.8312713980064504,13.486700688160697,0.20297655181953,0.9064842332201622,0.9379193183523645,0.923242116610081,0.9095168455231136,15.108070553669371,0.09948485827642314,0.857843137254902,0.9370853619968051,0.9006410256410258,0.8702350104316892,16.27256944444447,0.1501112133762847
0.07,0.8289346337006858,0.9221300444151008,0.8794673168503429,0.8446365024864367,11.841923338581225,0.18394125408528414,0.9210653662993142,0.9293689373271277,0.9255326831496571,0.921764372969178,13.158076661418773,0.08487595021579115,0.875,0.9331561815148808,0.9052601809954752,0.8830417586754221,14.297743055555575,0.1331856879889553
0.08,0.8605408660252135,0.9149425581707202,0.8902704330126068,0.8683676137166557,10.756760825315169,0.1515860151899853,0.9433807026022375,0.9218277227657535,0.9316903513011188,0.9420252113094358,11.792258782527968,0.061542714562785324,0.9019607843137255,0.9254849243835047,0.9110105580693817,0.9039808042037721,11.44808201058202,0.1063956639566395
0.09,0.8722573419406885,0.9064699264143963,0.8911286709703443,0.8769033371932461,9.691748243785428,0.14037654731792473,0.9512720698240176,0.9135672581564482,0.9306360349120089,0.9491743917723998,10.569689664711307,0.053547176017563106,0.911764705882353,0.921742847734053,0.9121417797888387,0.9121131014883892,10.573247354497362,0.09653116531165305
0.1,0.8901157798398726,0.8990017106724906,0.8950578899199363,0.8911912692895586,8.901157798398724,0.12209357795569716,0.9628253966307158,0.9059111681777534,0.9314126983153579,0.9603333218424444,9.628253966307158,0.041305114854760266,0.9264705882352942,0.9146329021000947,0.9123303167420815,0.9243803584595589,9.137400793650796,0.08182741116751258
0.11,0.9002140853578561,0.8911121893919803,0.895107042678928,0.8991843456590091,8.183764412344146,0.11211900521589205,0.9690669603937782,0.898060079645235,0.9295334801968891,0.9664111957374791,8.809699639943437,0.03475622427665376,0.9346405228758171,0.9069616449687187,0.9086852689793867,0.931471451606235,8.242008963750985,0.07368550284925206
0.12,0.90429514513546,0.8828462669476673,0.89214757256773,0.9019120850046125,7.535792876128834,0.10875551689152267,0.9715218483285925,0.8900617516875621,0.9257609241642962,0.9686529041793533,8.09601540273827,0.03236153599023585,0.9379084967320263,0.9026582568218493,0.9059829059829061,0.9344275850663581,7.907629038613082,0.07038285003014555
0.13,0.9084026881933228,0.8748077200896099,0.8892013440966614,0.9047446257575519,6.987712986102483,0.10528426644445653,0.973950252983148,0.882241070511368,0.921975126491574,0.9709282357329184,7.491925022947292,0.029942237950404633,0.9411764705882354,0.8983548686749798,0.9032805429864255,0.9373837185264813,7.573249113475178,0.06708019721103904
0.14,0.9125388051165423,0.8669882769932662,0.8862694025582711,0.907688889681423,6.518134322261016,0.10169906381797408,0.9763500837723468,0.8745913114218482,0.9181750418861734,0.9732361019977053,6.973929169802476,0.027499902590294445,0.9444444444444445,0.8940514805281103,0.9005781799899447,0.9403398519866045,7.238869188337274,0.06377754439193253
