collapsed_subject,p5,ci_low,ci_high,count,halfwidth
Science\\Philosophy,0.5389634773104,0.4673432751337772,0.6655829626613544,12,0.06330974267547723
History,0.45542668509895723,0.2767874807964934,0.6203576057169777,31,0.08246546030901025
Fiction,0.435590322721847,0.37305987296526405,0.48191374824808714,342,0.023161712763120068
Reference,0.3917685012185699,0.2977679428755913,0.5241963258799393,41,0.06621391233068469
Religion,0.37058528674929975,0.358894283082509,0.4203156449029123,6,0.02486517907680627
Drama,0.30819043871022583,0.2580272204139019,0.40180933745418224,15,0.0468094493719782
Youth\\Children,0.2175803837179663,0.1380684446215,0.47370082274605047,14,0.12806021951404206
Poetry,0.15729521471599467,0.1315035533508586,0.3270816385316092,17,0.08489321190780727
