fpr,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,tpr,ppv,acc,npv,LR+,LR-
0.0,0.0,0.9764602522065686,0.5,0.5,32.74804967364213,1.0,0.0,0.9905670361371322,0.5,0.5,61.19464807639988,1.0,0.0,0.9631649618104479,0.5,0.5,96.32546838697569,1.0
0.01,0.3628386448511861,0.9731787459854346,0.676419322425593,0.6084215292277872,36.28386448511861,0.6435973284331453,0.5602382782257368,0.9824634711806538,0.7751191391128684,0.6924230694688477,56.02382782257368,0.44420375936794265,0.46153846153846145,0.958850787325674,0.7262443438914027,0.6517030079243978,59.500000000000554,0.5428586321934947
0.02,0.5443564312859658,0.9645614032351377,0.7621782156429828,0.6826206875832188,27.217821564298287,0.46494241705513695,0.734489722560188,0.9734920179798678,0.857244861280094,0.7868261047306833,36.724486128009396,0.2709288545304204,0.6394230769230769,0.952379525598513,0.8083993212669683,0.7363599773050196,36.02840909090924,0.36721002621231985
0.03,0.611361496935571,0.9532245073280199,0.7906807484677855,0.7139500299838042,20.37871656451903,0.40065825058188564,0.7924846569105828,0.9635251554567764,0.8812423284552914,0.8237684593179359,26.41615523035276,0.21393334339115178,0.7019230769230769,0.948065351113739,0.8351244343891402,0.7728804682536988,29.556818181818294,0.30552096985583227
0.04,0.6804058543927965,0.9444757427273901,0.8202029271963982,0.7502378807340143,17.010146359819913,0.33291056834083693,0.8484402994533572,0.9549772786932208,0.9042201497266786,0.8636513176286359,21.21100748633393,0.1578746880694196,0.7644230769230769,0.943751176628965,0.8618495475113122,0.8094009592023781,23.085227272727344,0.24383191349934474
0.05,0.7671135792374528,0.9388089963617285,0.8585567896187264,0.8031202179052684,15.342271584749057,0.24514360080268124,0.9123736002497267,0.9480451251083515,0.9311868001248633,0.9155511080179123,18.24747200499453,0.09223831552660348,0.8397435897435898,0.9358418567402128,0.8912141779788838,0.855593675502529,15.430014430014458,0.16949404761904763
0.06,0.7823700699226088,0.9287723980915984,0.8611850349613044,0.8120038844686385,13.039501165376814,0.23152120220999062,0.9227581352055962,0.938947338260957,0.9313790676027981,0.9240673555939273,15.379302253426605,0.08217219658979123,0.8525641025641025,0.9322467113362345,0.8938536953242836,0.8652659008540006,14.24639249639252,0.1568452380952381
0.07,0.7978094703580585,0.9193371328718989,0.8639047351790292,0.8214165157291284,11.397278147972264,0.21740917165800164,0.9329597604111723,0.9302065718256703,0.9314798802055861,0.9327607483360204,13.32799657730246,0.07208627912777167,0.8653846153846154,0.9286515659322563,0.8964932126696833,0.8749381262054722,13.06277056277058,0.14419642857142853
0.08,0.8134539703253117,0.9104598528216608,0.8667269851626559,0.8314159332987435,10.168174629066396,0.20276742355944374,0.9429562860849449,0.9217952897027734,0.9314781430424725,0.941616006425671,11.78695357606181,0.062004036864190364,0.8782051282051283,0.925056420528278,0.899132730015083,0.8846103515569438,11.879148629148645,0.13154761904761897
0.09,0.8293317281757879,0.9021028022402912,0.869665864087894,0.8420715438086129,9.214796979730977,0.1875475514551781,0.9527195538754942,0.9136872424944028,0.9313597769377471,0.9506096188260003,10.585772820838825,0.05195653420275359,0.8910256410256411,0.9214612751242997,0.9017722473604828,0.8942825769084154,10.695526695526706,0.11889880952380942
0.1,0.8577962106142011,0.8955936566758043,0.8788981053071006,0.8635547185358021,8.57796210614201,0.15800421042866547,0.969126866308876,0.90646573091438,0.934563433154438,0.9668342198590425,9.69126866308876,0.034303481879026654,0.9134615384615385,0.9146304988567409,0.9058257918552037,0.9125489311991475,9.062169312169317,0.0961179123711339
0.11,0.8703196519081835,0.8877917016292737,0.8801598259540917,0.8728225484246172,7.9119968355289405,0.14570825628293987,0.9758341942456628,0.8986953988160064,0.9329170971228313,0.9735651830311062,8.871219947687843,0.027152590735210386,0.9230769230769231,0.9113948679931605,0.907239819004525,0.9211430601384079,8.612433862433868,0.08598582474226793
0.12,0.8830860344633469,0.8803691848185282,0.8815430172316734,0.8827241170468341,7.359050287194558,0.132856779018924,0.9822985809212688,0.8911365739945818,0.9311492904606344,0.9802813956817654,8.18582150767724,0.02011524895310368,0.9326923076923078,0.90815923712958,0.9086538461538463,0.9297371890776682,8.162698412698418,0.07585373711340195
0.13,0.9050476355828051,0.874401915882064,0.8875238177914025,0.9015989100409701,6.9619048890985,0.10914064875539643,0.9923882618530925,0.884175552775858,0.9311941309265462,0.9913267589572355,7.633755860408403,0.008749124306790253,0.9487179487179488,0.9020474899428169,0.9102564102564104,0.944613825781227,7.426921545201119,0.058726713691445026
0.14,0.9141405938237981,0.8671903910917966,0.8870702969118991,0.9092260375954782,6.529575670169986,0.09983651880953712,0.9961158164326123,0.8767731264937424,0.9280579082163061,0.995503814468106,7.1151129745186585,0.004516492520218295,0.9551282051282052,0.8991713736196343,0.9104449472096532,0.9508963335455254,7.140880127439272,0.05173177789835407
0.15,0.931682461870805,0.8613271405541973,0.8908412309354025,0.9256057569494185,6.211216412472033,0.08037357426964124,1.0023834721951292,0.8698349953646324,0.9261917360975647,1.0028119699379883,6.682556481300862,0.0,0.967032967032967,0.8919810828116778,0.9088558500323207,0.9632961496941346,6.577163338453665,0.03834586466165411
0.16,0.9401654764777289,0.8545673324414311,0.8900827382388644,0.93350497012711,5.876034227985805,0.07123157562175136,1.004889468577216,0.8626479126852934,0.922444734288608,1.0058548759634078,6.2805591786076,0.0,0.9725274725274725,0.8876669083269038,0.9070782159017454,0.9694134580784455,6.299487967229906,0.03195488721804509
0.17,0.9489948771590873,0.8480779461371643,0.8894974385795436,0.9421057590715928,5.58232280681816,0.06145195523001536,1.0070490788848687,0.8555710181931774,0.9185245394424344,1.0085656127285414,5.923818111087463,0.0,0.978021978021978,0.8833527338421299,0.9053005817711701,0.9755307664627564,6.021812596006147,0.02556390977443607
0.18,0.9583077627285803,0.8418705328262621,0.8891538813642902,0.9516158606657062,5.32393201515878,0.05084419179441425,1.0087252043043868,0.8485772831700564,0.9143626021521934,1.010754930820827,5.604028912802149,0.0,0.9835164835164836,0.8790385593573559,0.9035229476405947,0.9816480748470673,5.7441372247823885,0.019172932330827053
