,perplexity,prediction,percentage,entropy_rate,rates
705,25.32,Human,2.22,1.8062575248197699,"[1.799047369510905, 1.2836472177981384, 1.1090975751853798, 1.9096197125664804, 1.9335772619163352, 1.9243503177473034, 1.9302046169972118, 1.8506284652854168, 1.53771957308335, 1.6561482217135306, 1.8991625418287967, 1.7487720288317306, 2.1008376305275456, 0.9213879430021712, 1.9967797795431281, 1.9120148033055953, 1.903785853341978, 1.8568426415159274, 1.496347179722342, 2.030999504583048, 1.8096011486546812, 1.666010633598267, 1.9874190927231545, 1.9402899317599027, 1.3957982986322681, 1.947220669834375, 1.971554633229082, 1.704943850922833, 1.9451655118937548, 1.5529741057726119, 1.7741473591604804, 1.9520109150611136, 1.9767754740899952, 1.9225896000205522, 2.0538887144157467, 1.9530706873563954, 1.9744723472021801, 2.0578809889875225, 1.8958367694789355, 1.8822266305272741, 1.8917109162831425]"
710,22.14,AI,3.89,0.8263778412625,"[0.942137706354744, 0.96268089601632, 0.9345014337151336, 0.9976334989349364, 0.8407197955026955, 0.9004777720469167, 1.0309634414767752, 0.9015519006511841, 0.963630637148642, 0.8910753130627433, 0.8862823932126052, 0.915260429927414, 0.9563160437145797, 0.7957520074358103, 0.9417555933229469, 0.8172184226807337, 0.8787577780773637, 0.0, 0.8753335315215275, 1.0333126392069725, 0.6054266388439397, 0.8999488643216986, 0.853442349814056, 1.053895254969904, 0.9073227391979792, 0.841895065835632, 0.8998690284748285, 0.9294911687121533, 0.9250223718868117, 0.8642091761713336, 0.8637113428604029, 0.9656564659667706, 0.7332476448932044, 0.0, 0.8931250077905009, 0.0, 0.8661211922378167, 0.9423127722490079, 0.9109075149146784, 0.6470893622741357, 0.8134362963376055]"
805,25.58,Human,17.66,1.153012429263877,"[1.1512603088373377, 1.102313871610898, 1.3217549405074327, 1.3512101932483491, 1.301014342507839, 1.123803055450433, 0.9322609249783245, 1.2748123086057936, 0.9651959815393771, 1.193161843742497, 1.0553890147218357, 1.007732491826931, 1.1339192363931747, 1.2042258402115054, 1.2647039898297654, 0.9934878262948537, 1.0677323632586773, 1.315869551112236, 1.1979152311992187, 1.2321408540335381, 0.9122674656851879, 1.0853377587330988, 1.1923127213777642, 1.0875895871674335, 1.0963304969092438, 1.3144126763761266, 1.303601119572559, 1.1012878254346334, 0.828557318055909, 1.0733815015343875, 1.0696650289461014, 1.0122214503928644, 1.1539844672580595, 1.0299890003506407, 1.4260835933235527, 1.342265633304999, 1.1745759511508216, 1.1061063706245216, 1.1022935107813174, 1.4349531963861621, 1.2363887565435623]"
807,0.0,,0.0,2.129117732905071,"[2.43313791056275, 2.2189870622042744, 2.291708323992539, 1.209959893293958, 1.8293850429270095, 2.2758009021141943, 2.1979550013988938, 1.8553000196151221, 2.562103515474641, 2.2136782150288896, 1.9853659614840717, 2.2121675084559898, 1.610824864940914, 1.5160536627350916, 2.235775262781145, 2.2991957241474754, 2.363640392979556, 2.472937757158976, 1.7185249309607584, 2.1985331720108134, 1.9915826274469033, 2.139079391038643, 2.048928099172818, 2.4108408073088228, 2.212061972798822, 1.9398735041480835, 2.2814679807753615, 2.1821250141771324, 2.422326972513351, 1.4137522455944684, 2.108482746107744, 2.1677274303324725, 2.3834288298436332, 2.1914249796592684, 2.2558751648971835, 2.161257849867467, 2.264599719422335, 2.2749677215882076, 2.2512229403871866, 2.1705863783694217, 2.3211795493915077]"
910,0.0,,0.0,1.1901700522471208,"[1.283228743239918, 1.1593354127570854, 1.1454008759362941, 1.2517781742554492, 1.1646367382702285, 1.3047190451235948, 1.4007730354131784, 1.1359783466878042, 1.2291521203131515, 1.159253693369197, 1.1580679892496646, 1.1021589975457995, 1.1261098185250842, 1.3125491787116028, 1.164986035815652, 1.2013853258717397, 1.2546501953554239, 1.0826735307140096, 1.1758960510897596, 1.177685789799247, 1.1962048869426427, 0.874344425774407, 1.3845768598135053, 1.2707671514881684, 1.2465202694807873, 1.1505876291506953, 1.1765536102016998, 1.0056279142531963, 1.1945971653341971, 1.0872874887657353, 1.1835594291587541, 1.216288948644687, 1.130463793328943, 1.2122050311054944, 1.352617605754122, 1.207231179610372, 1.178322097706237, 1.1813211326774653, 1.1781496571079233, 1.2095182542648684, 1.1698085135241596]"
1104,20.81,AI,0.0,0.7479269935041644,"[1.373914221962588, 1.0887301359545356, 0.0, 0.0, 1.0413142704307812, 0.0, 1.2027054593935778, 0.0, 1.0124514176692527, 0.8786141880801961, 0.6672296906657574, 0.0, 0.0, 0.5439537769519056, 1.2086183771899786, 0.7736693377821999, 1.0346260191965144, 0.0, 0.0, 1.409331902841117, 1.329306042152943, 1.4094483256544605, 1.0085644619101604, 0.0, 1.3971096370096105, 0.6215429708451121, 1.177990291206562, 1.1106215333263099, 1.05240760877849, 1.1272926514273511, 0.0, 1.3548478126913224, 1.283678523033283, 0.0, 1.1948464074032592, 1.171389588230718, 0.745153501952656, 1.1161377229574372, 1.3295108569726604, 0.0, 0.0]"
1110,0.0,,0.0,1.8228338326015807,"[2.1173498730093097, 1.7734172966589528, 1.8752176205108808, 1.8663009583184158, 1.5919309645788284, 1.4236562198200142, 1.3539146286166461, 1.9884737809739161, 1.871225928728273, 1.7646564574926427, 1.8667245288813092, 2.060863473934828, 1.9718559628888621, 1.789908437383748, 1.6666396168165272, 1.9522644277895138, 1.8999278008600413, 2.0770851406255906, 1.8614577250356412, 1.6377468587544053, 1.2387894009133111, 1.9377953008212687, 2.1124458156289534, 1.7818221382143653, 2.032927005843872, 1.8660554237079954, 2.182604572071603, 1.009300090048801, 1.935302104079092, 1.862966078323866, 1.8088120439186037, 1.881173952478447, 1.957561477712882, 1.767909025634639, 1.9446409899173438, 2.158639101367475, 1.7184701653775973, 1.65209324348104, 1.896747740135075, 1.9293476191323322, 1.6501661461779098]"
1206,3.21,AI,33.89,0.3958064183425595,"[0.3282201475917279, 0.3375757841843965, 0.34436807759954874, 0.33698553569328277, 0.44859232728829096, 0.46538021039430133, 0.3663688307620396, 0.451409036298636, 0.33515671948584014, 0.4294991649044145, 0.3745459880283863, 0.5114501233595186, 0.32887093064675305, 0.3267475010071576, 0.458236313722354, 0.3306464026197641, 0.4802130185629931, 0.3747213635052787, 0.4166411294528168, 0.3469562743234111, 0.42966232451127007, 0.38621886196988703, 0.4735515181298078, 0.3490119080079472, 0.3428892203308715, 0.48365612066621994, 0.39677736625299304, 0.41920199604546293, 0.4644184818509033, 0.44233749629715413, 0.36867164407273895, 0.3656241410018581, 0.3791718934295973, 0.4626604136383192, 0.37425927475664594, 0.3386581683843924, 0.3286252393018138, 0.34801159568102796, 0.44594378923594125, 0.33216576422991057, 0.5039610548192651]"
1208,26.52,Human,6.5,0.025740331685244824,"[0.4322624959344114, 0.0, 0.306098606142058, 0.0, 0.3169924970185683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1210,0.0,,0.0,1.758109203755078,"[2.3174055106883467, 1.2351243409680592, 1.4254256979111302, 2.392770088141357, 1.7234010396737094, 1.5499202289500835, 1.6130995153772636, 1.2045929179501214, 1.8859771350685421, 2.520075264399832, 2.4972147497904666, 1.5869083715167556, 1.6843386852900346, 1.503972334174058, 1.6882561934004903, 1.5548667632482964, 1.5453905773880492, 0.9943889423287033, 2.0036721837818208, 2.144693495246236, 1.5167297344921082, 2.315947279994297, 1.5909833847503378, 0.7761445657647239, 1.9513169132071653, 1.7280129072481298, 1.9474005153292244, 1.4759107784288539, 1.1610762371211925, 2.4982887362405446, 2.531409846410984, 2.3838207106827807, 1.201122782977256, 2.0558614920521654, 2.3700593567728556, 1.568497846775778, 1.3091076581989918, 2.3128010065312044, 1.5135092623446862, 1.5442277136129334, 1.2587545897286103]"
