,value
80,0.623591583179956
232,0.6237148798132207
22,0.6240822561078431
370,0.6241968310117219
217,0.6245975433612315
313,0.6253263739926948
260,0.62832571875991
141,0.6288231482031601
386,0.6290799768548366
345,0.6295827906926671
70,0.6343474676852454
43,0.6347266179132558
19,0.6363634891065405
9,0.638821736573468
110,0.6393321111714315
411,0.6395233094646029
312,0.6406371168537617
194,0.6413687348195835
15,0.6414821442101408
94,0.6436740223455961
215,0.6442320093081402
382,0.6452201993669705
350,0.645341105623163
402,0.6464740224514265
120,0.6464769507879204
468,0.6464769507879204
40,0.6472513401647771
196,0.6475086086451703
279,0.6476775122224583
186,0.6492310810078024
272,0.6501616778205446
62,0.6507672569608088
51,0.6529430977104768
384,0.6538377506337484
274,0.6566360923016925
115,0.6567674350517998
436,0.6580407986479376
259,0.6580550818142026
131,0.6592035469127709
490,0.6598423181271698
412,0.6599976745821962
379,0.6600265687242574
389,0.660056651928068
218,0.6604436182135478
5,0.6611208117474062
57,0.6627373080147831
137,0.6630343952955756
416,0.6632020344070526
195,0.6636696868935588
425,0.6655829626613544
452,0.6660448730454763
169,0.6683869831393416
355,0.6685913212320541
56,0.6708652935212058
317,0.6721201047545512
374,0.6722762674155621
128,0.6724555869935062
400,0.6734187010857646
236,0.6734531488408588
305,0.6745959946799335
459,0.679528661992624
319,0.679528661992624
330,0.679675372760915
424,0.6799138262199443
29,0.680573224500809
69,0.6810482731123751
302,0.6833311297607395
147,0.6838425925928974
37,0.6839992938188955
177,0.6850086118254214
123,0.6851234589774139
364,0.6871639826056695
165,0.6871745732041029
428,0.6876313295292444
134,0.688400528251979
143,0.6918414508068682
326,0.6921542572285712
284,0.6928438335789505
488,0.6932092344232432
126,0.6932814043693217
48,0.6938087525044095
212,0.6942035750912764
476,0.6943900613079482
144,0.6978370665104341
296,0.6980032603434624
339,0.6984224321931226
139,0.6991936690361753
175,0.6994529765128864
85,0.6997876964514338
349,0.7016562998932071
337,0.7025790289708298
245,0.7033946801716393
253,0.7034693856549361
189,0.707272302114035
278,0.7078012961274963
164,0.7078251987623853
371,0.7092434414221717
281,0.7103185745408419
158,0.7111699589978937
367,0.7111780984724057
485,0.7117449343045649
410,0.7118912513804434
204,0.712094360547455
310,0.7124330793096166
381,0.7131562662711298
409,0.7141175189940101
170,0.7142777737746957
438,0.7146097203909171
150,0.7146097203909171
422,0.7180202779674227
369,0.7188699827434376
28,0.7194209037614829
72,0.7195883830994809
117,0.7198842151179459
103,0.7202789951956419
160,0.7205181517900503
346,0.7223368452873588
479,0.7238092317685805
132,0.7240102420932139
113,0.7260322271303589
240,0.726382190684574
31,0.7276413150790177
264,0.7292073571798758
98,0.7300763105064456
65,0.7303989923184621
357,0.7305666686023187
487,0.7306345820343595
308,0.7311788373998123
332,0.7318983295818479
306,0.7322972268104538
14,0.7327948386020148
24,0.7330621115334326
315,0.7347818191445135
17,0.7359273614062866
226,0.7369015401791891
214,0.7370756020119784
45,0.7382826661040981
261,0.738704051043464
286,0.7401848895356596
405,0.7402107093701555
387,0.7408414600428528
276,0.7412461614298589
249,0.7417519345038469
96,0.7418190109008744
375,0.7426532199946765
8,0.7436901713159035
393,0.7444291033375041
203,0.7445118046404763
88,0.7448404630190935
223,0.7450484900865472
222,0.746791987205947
227,0.7470214148501753
102,0.7481014355813507
12,0.7483984052842216
347,0.7494984260620572
206,0.7507840112980505
391,0.7512226122654282
2,0.7526946985469741
366,0.7536212153377512
153,0.7539699492969191
334,0.7542486996502047
494,0.754944200583973
63,0.7558702685674017
183,0.7559188571929839
156,0.7559251081982143
92,0.7563497911656573
129,0.7572351061125746
283,0.7572679800113603
107,0.7577306087938468
333,0.757865172549971
461,0.7606481708515056
151,0.7606481708515056
135,0.7609990559385564
138,0.7627334703261754
174,0.7633012476406423
119,0.7637593316977012
44,0.763886932532366
406,0.7661619076834759
480,0.7665008064786493
470,0.7668327916233093
373,0.7684102707858779
199,0.768779246147843
342,0.7730859690280693
329,0.7738923691063047
38,0.7752327083379781
32,0.7765132446854306
33,0.7769228568862178
434,0.7813163594377072
87,0.7826526708746876
25,0.7831976229162324
111,0.7837410498486757
20,0.7842010498811068
335,0.7866017880585233
3,0.7870345129302811
105,0.7888617682024576
388,0.7890773277123125
483,0.7894949819575993
167,0.790754606417968
