87050 0.000193575 sync: 0| 0.00056552 -0.160966
88050 0.00019158 sync: 0| 0.00055966 -0.160966
89050 0.00018958 sync: 0| 0.00055392 -0.160966
90050 0.000187661 sync: 0| 0.00054831 -0.160966
91050 0.000185822 sync: 0| 0.00054281 -0.160966
92050 0.000183932 sync: 0| 0.00053743 -0.160966
93050 0.000182119 sync: 0| 0.00053216 -0.160966
94050 0.000180382 sync: 0| 0.00052699 -0.160966
95050 0.000178677 sync: 0| 0.00052193 -0.160966
96050 0.000176961 sync: 0| 0.00051697 -0.160966
97050 0.000175231 sync: 0| 0.0005121 -0.160966
98050 0.000173617 sync: 0| 0.00050733 -0.160966
99050 0.000171989 sync: 0| 0.00050265 -0.160966
100050 0.000170474 sync: 0| 0.00049806 -0.160966
