sub;value
poetry, alfred, king of england, 849-899;0.1315035533508586
juvenile fiction, animals;0.1380684446215
german poetry, ;0.19849185607648265
fiction, design and construction;0.1994907038054354
drama, authors, russian;0.2580272204139019
juvenile fiction, pets;0.2603945047699097
italy, travel;0.2767874807964934
drama, man-woman relationships;0.3296889608372218
translations into english, epic poetry, greek;0.3447682220470806
drama, faust, -approximately 1540;0.3483822612439877
bibliomania, ;0.9571774622305492
history, england;0.9693072338381055
book collecting, ;0.9694600387645425
fiction, algeria;0.9808867991866699
synonyms and antonyms, english language;1.016864985877019
handbooks, manuals, etc., geography;1.086350710729469
fiction, catherine ii, 1762-1796;1.1089976286312777
imaginary letters, ;1.2071868599242654
fiction, adventure and adventurers;1.266804416871117
civilization, italy;1.3426289077465852
