500 0.678112 sync: 0| 0.69933
1500 0.644592 sync: 0|0| 0.73152
2500 0.638523 sync: 0| 0.70887
3500 0.642474 sync: 0| 0.71648
4500 0.697343 sync: 1| 0.69848
5500 0.649042 sync: 0| 0.69129
6500 0.657651 sync: 0| 0.69567
7500 0.652337 sync: 0| 0.69684
8500 0.667323 sync: 0| 0.70948
9500 0.660296 sync: 0|0| 0.69963
10500 0.661672 sync: 0| 0.70225
11500 0.648562 sync: 0| 0.69675
12500 0.648744 sync: 0| 0.68266
13500 0.657112 sync: 0| 0.69925
14500 0.65326 sync: 0| 0.69405
15500 0.647741 sync: 0| 0.6951
16500 0.671665 sync: 0| 0.70136
17500 0.657822 sync: 0| 0.6975
18500 0.663822 sync: 0| 0.69957
19500 0.675448 sync: 0| 0.71329
20500 0.667269 sync: 0| 0.6973
21500 0.674058 sync: 0| 0.71559
22500 0.671015 sync: 0| 0.69846
23500 0.672019 sync: 0| 0.70439
24500 0.668153 sync: 0| 0.7082
25500 0.658599 sync: 0| 0.6923
26500 0.672337 sync: 0| 0.69864
27500 0.660871 sync: 0| 0.69285
28500 0.66861 sync: 0| 0.69632
29500 0.660832 sync: 0| 0.69058
30500 0.657362 sync: 0| 0.68671
31500 0.670554 sync: 0| 0.70683
32500 0.66722 sync: 0| 0.69268
33500 0.668449 sync: 0| 0.70044
34500 0.668782 sync: 0| 0.6991
35500 0.662939 sync: 0| 0.69702
36500 0.665909 sync: 0| 0.69716
37500 0.675104 sync: 0| 0.70179
38500 0.670069 sync: 0| 0.69991
39500 0.669128 sync: 0| 0.69815
40500 0.666691 sync: 0| 0.69839
41500 0.669454 sync: 0| 0.70309
42500 0.66441 sync: 0| 0.69532
43500 0.667787 sync: 0| 0.69782
44500 0.669569 sync: 0| 0.69574
45500 0.665552 sync: 0| 0.70056
46500 0.683878 sync: 0| 0.70689
47500 0.670118 sync: 0| 0.69927
48500 0.66601 sync: 0| 0.69484
49500 0.675279 sync: 0| 0.70036
50500 0.665671 sync: 0| 0.69859
51500 0.661551 sync: 0| 0.69204
52500 0.657851 sync: 0| 0.68723
53500 0.657938 sync: 0| 0.68789
54500 0.666357 sync: 0| 0.69547
55500 0.670908 sync: 0| 0.70168
56500 0.663587 sync: 0| 0.6957
57500 0.66652 sync: 0| 0.69432
58500 0.667823 sync: 0| 0.69923
59500 0.661883 sync: 0| 0.69174
60500 0.673066 sync: 0| 0.70024
61500 0.671654 sync: 0| 0.701
62500 0.66999 sync: 0| 0.70226
63500 0.669185 sync: 0| 0.69496
64500 0.666424 sync: 0| 0.69581
65500 0.674146 sync: 0| 0.69639
66500 0.674222 sync: 0| 0.69866
67500 0.668551 sync: 0| 0.69756
68500 0.670349 sync: 0| 0.70352
69500 0.672288 sync: 0| 0.69731
70500 0.667005 sync: 0| 0.69538
71500 0.667806 sync: 0| 0.69645
72500 0.666826 sync: 0| 0.69393
73500 0.668771 sync: 0| 0.69786
74500 0.666628 sync: 0| 0.69563
75500 0.665789 sync: 0| 0.69324
76500 0.672385 sync: 0| 0.69813
77500 0.674633 sync: 0| 0.70165
78500 0.668282 sync: 0| 0.69889
79500 0.668754 sync: 0| 0.69333
80500 0.671583 sync: 0| 0.696
81500 0.665283 sync: 0| 0.69242
82500 0.668811 sync: 0| 0.69644
83500 0.66897 sync: 0| 0.6951
84500 0.66493 sync: 0| 0.69495
85500 0.663296 sync: 0| 0.6908
