k,human,ai,humanstd,aistd,human_ci,ai_ci
1,0.26008150100753896,0.28591876582412606,0.1265013671959362,0.11579731311518979,0.03322188259040214,0.03041077599294478
10,0.6631736597062096,0.5341348335963532,0.19390134328242203,0.20245515867904187,0.050922514146999866,0.05316892347130642
50,0.7708334693343939,0.6769005844669997,0.13761023784942217,0.09266978973481055,0.036139302415521074,0.024337008701879312
100,0.7640814384957672,0.6380991019753026,0.10358499057364733,0.09283013351276906,0.027203566817072106,0.024379118303407877
125,0.7635144319021003,0.6300126065905485,0.09881273956384595,0.08708791059004459,0.025950274728189116,0.02287109147353819
150,0.7553440919722025,0.6226755630383167,0.08822842990425071,0.08794750597111453,0.02317061549915567,0.023096839048115197
