threshold,fpr,tpr,L,U
0.0,1.0,1.0,1.0,1.0
0.0008366481777067,0.9989,0.9998017660839792,0.9974780425059488,1.0021254896620095
0.0015972374301675,0.9979,0.999621553433051,0.9964111572862828,1.0028319495798197
0.0023578266826282,0.9969,0.9994413407821228,0.9955411066915756,1.0033415748726704
0.0031184159350891,0.9959,0.9992611281311948,0.9947761265823948,1.0037461296799948
0.0038790051875499,0.9949,0.9990809154802668,0.9940792275437595,1.0040826034167738
0.0046395944400106,0.9939,0.9989007028293386,0.9934310816426888,1.0043703240159887
0.0054001836924714,0.9929,0.9987204901784106,0.9928200783261336,1.0046209020306875
0.0061607729449321,0.9919,0.9985402775274824,0.9922385956474348,1.0048419594075302
0.0069213621973929,0.9909,0.9983600648765544,0.9916813105467452,1.0050388192063633
0.0076819514498536,0.9899,0.9981798522256262,0.9911443313018884,1.005215373149364
0.0084425407023144,0.9889,0.9979996395746982,0.9906247104002212,1.005374568749175
0.0092031299547752,0.9879,0.99781942692377,0.9901201518683806,1.0055187019791594
0.0099637192072359,0.9869,0.997639214272842,0.989628825841666,1.005649602704018
0.0107243084596967,0.9859,0.9974590016219138,0.9891492459306864,1.0057687573131413
0.0114848977121574,0.9849,0.9972787889709858,0.9886801851966952,1.0058773927452764
0.0122454869646182,0.9839,0.9970985763200576,0.9882206168429936,1.0059765357971218
0.0130060762170789,0.9829,0.9969183636691296,0.9877696712775726,1.0060670560606866
0.0137666654695397,0.9819,0.9967381510182014,0.9873266043406324,1.0061496976957705
0.0145272547220005,0.9809,0.9965579383672734,0.9868907733411358,1.0062251033934109
0.0152878439744612,0.9799,0.9963777257163452,0.9864616186772456,1.006293832755445
0.016048433226922,0.9789,0.9961975130654172,0.986038649528142,1.0063563766026924
0.0168090224793827,0.9779,0.9960173004144892,0.9856214325663072,1.0064131682626711
0.0175696117318435,0.9769,0.995837087763561,0.9852095829456584,1.0064645925814637
0.0183302009843042,0.9759,0.9956568751126328,0.9848027570286056,1.00651099319666
