fpr,tpr_upper,tpr_lower,tpr
0.0,0.0,0.0,0.0
0.01,0.1578702538435851,0.1296040788052854,0.14373716632443526
0.02,0.19902744766337105,0.16784455781233037,0.1834360027378507
0.03,0.3076827327606369,0.2711445544855415,0.2894136436230892
0.04,0.3625010697369475,0.3242431693686879,0.3433721195528177
0.05,0.3909005869647228,0.3519695932771207,0.37143509012092174
0.06,0.41922971539466186,0.3797664059833898,0.3994980606890258
0.07,0.44749127524174226,0.40763078727251745,0.42756103125712985
0.08,0.484728408982668,0.4445437790164194,0.4646360939995437
0.09,0.5077021241092048,0.4674290645743453,0.48756559434177504
0.1,0.5288095919312364,0.4885301297206003,0.5086698608259184
0.11,0.5521569904340333,0.5119543488313101,0.5320556696326717
0.12,0.5658032044734951,0.5256866426631692,0.5457449235683322
0.13,0.5794341252607327,0.5394342297472527,0.5594341775039927
0.14,0.5930496184849704,0.5531972443943359,0.5731234314396532
0.15,0.6066495120506754,0.566975858699952,0.5868126853753137
0.16,0.6202335940166103,0.5807702846053383,0.6005019393109743
0.17,0.641934585074902,0.6028749061411601,0.622404745608031
0.18,0.6500615960876189,0.6111749998512358,0.6306182979694274
0.19,0.6698344247622429,0.6314204235151927,0.6506274241387178
0.2,0.678547971241728,0.6403660146127096,0.6594569929272188
0.21,0.6872541388600928,0.6493189845713467,0.6682865617157198
0.22,0.6959527825984791,0.6582794784099625,0.6771161305042208
0.23,0.7046437444093168,0.667247654176127,0.6859456992927219
0.24,0.7133268521083086,0.6762236840541372,0.6947752680812229
0.25,0.7220019181141912,0.6852077556252567,0.703604836869724
0.26,0.7306687380119675,0.6942000733044823,0.7124344056582249
0.27,0.7393270889103967,0.7032008599830553,0.721263974446726
0.28,0.7557457260384027,0.7203182108299792,0.7380319684341909
0.29,0.7635072572844941,0.7284335299818157,0.7459703936331549
0.3,0.7712610929289908,0.7365565447352468,0.7539088188321188
0.31,0.7790069846259374,0.7446875034362278,0.7618472440310826
0.32,0.7867446618173101,0.752826676642783,0.7697856692300465
0.33,0.7944738291495793,0.7609743597084416,0.7777240944290105
0.34,0.8021941634720215,0.7691308757839272,0.7856625196279744
0.35,0.8099053103314845,0.7772965793223922,0.7936009448269383
0.36,0.817606879856852,0.7854718601949525,0.8015393700259023
0.37,0.8252984418984987,0.7936571485512337,0.8094777952248662
0.38,0.8329795202512635,0.8018529205963965,0.81741622042383
0.39,0.8406495857406134,0.8100597055049744,0.8253546456227939
0.4,0.8483080478859827,0.818278093757533,0.8332930708217579
0.41,0.8559542447658824,0.8265087472755611,0.8412314960207218
0.42,0.8635874305860597,0.8347524118533117,0.8491699212196857
0.43,0.8712067602793736,0.8430099325579257,0.8571083464186496
0.44,0.8788112702205213,0.8512822730147058,0.8650467716176136
0.45,0.8863998537832337,0.859570539849921,0.8729851968165774
0.46,0.8939712299426326,0.86787601408845,0.8809236220155413
0.47,0.9015239023332289,0.8762001920957816,0.8888620472145052
0.48,0.9090561049478764,0.884544839879062,0.8968004724134692
0.49,0.9165657287151298,0.8929120665097364,0.9047388976124331
0.5,0.924050219996698,0.901304425626096,0.912677322811397
0.51,0.9315064366105166,0.9097250594102053,0.920615748010361
0.52,0.9389304373407987,0.9181779090778508,0.9285541732093248
0.53,0.9463171629181837,0.9266680338983937,0.9364925984082887
0.54,0.9536599308900506,0.9352021163244546,0.9444310236072526
0.55,0.9609495911594818,0.9437893064529513,0.9523694488062165
0.56,0.9681730127396548,0.9524427352707061,0.9603078740051805
0.57,0.9753101100145486,0.9611824883937402,0.9682462992041444
0.58,0.9823271905495561,0.9700422582566606,0.9761847244031083
0.59,0.9891588033727112,0.9790874958314331,0.9841231496020721
0.6,0.995636652251619,0.9884864973504534,0.9920615748010362
0.61,1.0,1.0,1.0
0.62,1.0,1.0,1.0
0.63,1.0,1.0,1.0
0.64,1.0,1.0,1.0
0.65,1.0,1.0,1.0
0.66,1.0,1.0,1.0
0.67,1.0,1.0,1.0
0.68,1.0,1.0,1.0
0.69,1.0,1.0,1.0
0.7,1.0,1.0,1.0
0.71,1.0,1.0,1.0
0.72,1.0,1.0,1.0
0.73,1.0,1.0,1.0
0.74,1.0,1.0,1.0
0.75,1.0,1.0,1.0
0.76,1.0,1.0,1.0
0.77,1.0,1.0,1.0
0.78,1.0,1.0,1.0
0.79,1.0,1.0,1.0
0.8,1.0,1.0,1.0
0.81,1.0,1.0,1.0
0.82,1.0,1.0,1.0
0.83,1.0,1.0,1.0
0.84,1.0,1.0,1.0
0.85,1.0,1.0,1.0
0.86,1.0,1.0,1.0
0.87,1.0,1.0,1.0
0.88,1.0,1.0,1.0
0.89,1.0,1.0,1.0
0.9,1.0,1.0,1.0
0.91,1.0,1.0,1.0
0.92,1.0,1.0,1.0
0.93,1.0,1.0,1.0
0.94,1.0,1.0,1.0
0.95,1.0,1.0,1.0
0.96,1.0,1.0,1.0
0.97,1.0,1.0,1.0
0.98,1.0,1.0,1.0
0.99,1.0,1.0,1.0
1.0,1.0,1.0,1.0
