metric,x,mean,ci_lo,ci_hi,err_lo,err_hi,alpha,pct,n
Nero,0,87.8367932062109,87.01200815321492,88.66157825920688,0.8247850529959777,0.8247850529959777,0.01,99,381
Perplexity,1,87.24468608501569,86.27616806851016,88.21320410152121,0.9685180165055272,0.9685180165055272,0.01,99,381
Percentage,2,92.3070520212612,91.19462324948547,93.41948079303693,1.1124287717757255,1.1124287717757255,0.01,99,381
