fpr,tpr_upper,tpr_lower,tpr
0.0,0.0,0.0,0.0
0.01,0.9584747795064569,0.9335029806206282,0.9459888800635425
0.02,0.9721080850065853,0.9508466409664091,0.9614773629864972
0.03,0.9802766162404183,0.9617408579454435,0.9710087370929309
0.04,0.9852521535020523,0.9686795383168515,0.9769658459094519
0.05,0.9884907580826596,0.9733837454916057,0.9809372517871326
0.06,0.9897635992704233,0.9752880290059865,0.982525814138205
0.07,0.9913325487647868,0.9776904853893038,0.9845115170770453
0.08,0.9921183297527232,0.97892095661619,0.9855196431844566
0.09,0.9925906037049247,0.9796706537032748,0.9861306287040997
0.1,0.9930596528079421,0.9804235756395439,0.986741614223743
0.11,0.9935252546054902,0.9811799448812819,0.9873525997433861
0.12,0.9939871594924192,0.9819400110336394,0.9879635852630293
0.13,0.9944450858284217,0.9827040557369233,0.9885745707826725
0.14,0.9948987138585931,0.9834723987460382,0.9891855563023156
0.15,0.9953476780640642,0.9842454055798535,0.9897965418219589
0.16,0.995791557416654,0.9850234972665501,0.9904075273416021
0.17,0.9962298627895073,0.9858071629329831,0.9910185128612452
0.18,0.9966620204380299,0.986596976323747,0.9916294983808884
0.19,0.9970873499386552,0.9873936178624079,0.9922404839005315
0.2,0.9976625144314241,0.9885076486298291,0.9930850815306266
0.21,0.9978186699081408,0.9888187173740159,0.9933186936410784
0.22,0.9979734309262985,0.9891311805767619,0.9935523057515302
0.23,0.9981267214951629,0.9894451142288011,0.993785917861982
0.24,0.9982784584194406,0.989760601525427,0.9940195299724338
0.25,0.9984285503043214,0.9900777338614498,0.9942531420828856
0.26,0.9985768963765098,0.990396612010165,0.9944867541933374
0.27,0.9987233850778545,0.990717347529724,0.9947203663037892
0.28,0.9988678923755455,0.9910400644529364,0.9949539784142409
0.29,0.9990102797157586,0.9913649013336269,0.9951875905246927
0.3,0.9991503915242343,0.9916920137460548,0.9954212026351446
0.31,0.9992880521247874,0.9920215773664053,0.9956548147455964
0.32,0.9994230619009451,0.9923537918111512,0.9958884268560482
0.33,0.9995551924602573,0.9926888854727427,0.9961220389665
0.34,0.9996841804649554,0.9930271216889481,0.9963556510769518
0.35,0.9998097196497597,0.9933688067250475,0.9965892631874036
0.36,1.0000381714515667,0.9940311957710969,0.9970346836113317
0.37,1.0001410326333524,0.9943519512162635,0.997246491924808
0.38,1.0002395803122839,0.9946770201642847,0.9974583002382843
0.39,1.0003332642017853,0.995006952901736,0.9976701085517606
0.4,1.000421405674449,0.995342428056025,0.997881916865237
0.41,1.0005031514667726,0.9956842988906537,0.9980937251787132
0.42,1.000577403403231,0.9960336635811481,0.9983055334921895
0.43,1.0006427069454533,0.9963919766658784,0.9985173418056659
0.44,1.000697064571494,0.9967612356667902,0.9987291501191422
0.45,1.0007376008109878,0.9971443160542491,0.9989409584326184
0.46,1.0007599028975622,0.9975456305946274,0.9991527667460948
0.47,1.0007565433108536,0.9979726068082886,0.9993645750595711
0.48,1.0007130411251557,0.9984397256209392,0.9995763833730474
0.49,1.0005920152417285,0.998984368131319,0.9997881916865237
0.5,1.0,1.0,1.0
0.51,1.0,1.0,1.0
0.52,1.0,1.0,1.0
0.53,1.0,1.0,1.0
0.54,1.0,1.0,1.0
0.55,1.0,1.0,1.0
0.56,1.0,1.0,1.0
0.57,1.0,1.0,1.0
0.58,1.0,1.0,1.0
0.59,1.0,1.0,1.0
0.6,1.0,1.0,1.0
0.61,1.0,1.0,1.0
0.62,1.0,1.0,1.0
0.63,1.0,1.0,1.0
0.64,1.0,1.0,1.0
0.65,1.0,1.0,1.0
0.66,1.0,1.0,1.0
0.67,1.0,1.0,1.0
0.68,1.0,1.0,1.0
0.69,1.0,1.0,1.0
0.7,1.0,1.0,1.0
0.71,1.0,1.0,1.0
0.72,1.0,1.0,1.0
0.73,1.0,1.0,1.0
0.74,1.0,1.0,1.0
0.75,1.0,1.0,1.0
0.76,1.0,1.0,1.0
0.77,1.0,1.0,1.0
0.78,1.0,1.0,1.0
0.79,1.0,1.0,1.0
0.8,1.0,1.0,1.0
0.81,1.0,1.0,1.0
0.82,1.0,1.0,1.0
0.83,1.0,1.0,1.0
0.84,1.0,1.0,1.0
0.85,1.0,1.0,1.0
0.86,1.0,1.0,1.0
0.87,1.0,1.0,1.0
0.88,1.0,1.0,1.0
0.89,1.0,1.0,1.0
0.9,1.0,1.0,1.0
0.91,1.0,1.0,1.0
0.92,1.0,1.0,1.0
0.93,1.0,1.0,1.0
0.94,1.0,1.0,1.0
0.95,1.0,1.0,1.0
0.96,1.0,1.0,1.0
0.97,1.0,1.0,1.0
0.98,1.0,1.0,1.0
0.99,1.0,1.0,1.0
1.0,1.0,1.0,1.0
