birthtime,model,capability,std
2022-11-30,GPT-3.5,0.5372577161183075,0.08177822564097252
2023-03-14,GPT-4.0,0.7124547126876408,0.08790334544939021
2024-05-13,GPT-4o,0.6237589969731866,0.08875122680020968
2024-05-14,GPT-4o (API),0.6449552903156244,0.0898525338061855
2025-02-05,Gemini,0.6646162412930451,0.10250206418524387
2025-05-22,Claude,0.71108666364454,0.06388295537181246
2025-08-07,GPT-5,0.7422492974779088,0.07549595404605826
