,perplexity,prediction,percentage,entropy_rate,rates
1,38.73,Human,60.68,0.7654487072493676,"[0.7774112397395213, 0.7479011194712383, 0.8604298717481043, 0.6861737588507798, 0.7370765363022035, 0.7844406545300797, 0.7520765421629807, 0.7578158577512542, 0.8465930452864481, 0.7148777917410921, 0.7384587895982078, 0.7064060380853229, 0.8507884117952822, 0.7600066142295552, 0.7400945730124496, 0.7624371135098282, 0.7384162921322885, 0.7610674695508031, 0.7612719178375177, 0.7669931993674869, 0.7562639466966138, 0.735888044202239, 0.7346201888074685, 0.7327802789021268, 0.7447869079543356, 0.7223292137374265, 0.7382879526806044, 0.7859689259005385, 0.7419239924331581, 0.7416012119417337, 0.7260371918591699, 0.7669702979224319, 0.8136613050902263, 0.8140132348021658, 0.8587384599513191, 0.7529969061381316, 0.8309767112755987, 0.8058378532989426, 0.6902509922617031, 0.7495484105164525, 0.8891781341492473]"
2,51.9,Human,54.09,0.6155518979484753,"[0.5245908924737195, 0.5428356251702431, 0.5914250351945952, 0.5647394084071324, 0.6122256082883921, 0.6832214945487501, 0.6088584199334414, 0.7623081297210962, 0.640954738022413, 0.7424563965437248, 0.6302991590366912, 0.6117419283973147, 0.587758570602626, 0.4862604787650787, 0.622976195460225, 0.5854074137414037, 0.7972574339347993, 0.6247802625754958, 0.5496157436565656, 0.5439058192467251, 0.640578405907971, 0.6316646919856412, 0.5757377837835852, 0.6488004201630204, 0.5734979864290451, 0.762934037290645, 0.7839942021526033, 0.7802737620910194, 0.5877783813998755, 0.6016136610855567, 0.6773025285260229, 0.5928129180208689, 0.5174695989620287, 0.6207075554571165, 0.5667018787897654, 0.5688850295044435, 0.5231722076205786, 0.5799160881175638, 0.5747951316903377, 0.6086183161118507, 0.5067544770775159]"
3,34.23,Human,62.05,0.31589895057706396,"[0.6090598169564873, 0.5691879021021967, 0.5333076030193209, 0.5297277713254183, 0.41816294997648223, 0.5816349269157899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6346517698335294, 0.5625168591289068, 0.0, 0.0, 0.6112099375836096, 0.0, 0.5900861911996027, 0.5853267320150454, 0.567480569704846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4988133988416385, 0.0, 0.551476330138914, 0.0, 0.0, 0.5190691053858388, 0.0, 0.0, 0.5460399932586468, 0.5230200429077749, 0.6073186586345318, 0.5639011843693621, 0.5887972396162501, 0.6327492982866975, 0.5765943884929297, 0.5517243039658044]"
4,41.55,Human,65.3,0.476516897283654,"[0.5822864029501985, 0.0, 0.0, 0.6689715857789833, 0.5476402959437301, 0.0, 0.7069951491726018, 0.6021103329202853, 0.0, 0.6116658625927923, 0.5534958874763037, 0.5927464177139622, 0.6208477322112259, 0.0, 0.6632641201963755, 0.0, 0.0, 0.0, 0.0, 0.5178967470306771, 0.6398527348893731, 0.5083997113752771, 0.6224224188078288, 0.5601186175753328, 0.5479952362762469, 0.499344922042011, 0.5326659981477737, 0.550611784232938, 0.6390702363235632, 0.5593508143073882, 0.5295418137173463, 0.7618348435147619, 0.6214634469932431, 0.669286192082005, 0.7478490929602806, 0.6379588732930318, 0.6391951836818663, 0.6335549935350365, 0.6617422362496742, 0.633173922539186, 0.6738391820985169]"
5,52.97,Human,81.84,0.4546692691965796,"[0.5769411218327662, 0.0, 0.445483035192351, 0.5713559641030265, 0.392725290768979, 0.39242032218912826, 0.5136135790550509, 0.5366222561154725, 0.4885241916607543, 0.5795521332123612, 0.0, 0.5795521332123612, 0.0, 0.601200931263316, 0.4250560269674066, 0.5293747656725016, 0.5072009939449132, 0.5388184225483083, 0.4563977412937337, 0.4579288777357714, 0.4047331062191154, 0.5795521332123612, 0.586786375076228, 0.6064053083639501, 0.5978839058921446, 0.5903828586674549, 0.6104019183105511, 0.4161034693868738, 0.5291024177171932, 0.517129477132129, 0.0, 0.5834260858346508, 0.4611294189323092, 0.4006164037664687, 0.5284333032599006, 0.4007747700357961, 0.4616215829395609, 0.4709389264199841, 0.39213362982114275, 0.5067183624888566, 0.4043987968148918]"
6,52.94,Human,50.92,0.5266718788230386,"[0.5668470725630395, 0.5331796820526407, 0.589861468238625, 0.6713831975298137, 0.4071666947101157, 0.630595345912321, 0.5690621134893767, 0.5721302229579921, 0.4484922259813155, 0.5197751497694979, 0.5412947400422892, 0.5817677432180928, 0.4447431479315783, 0.604676074309664, 0.5002286975724474, 0.5062546722145498, 0.5301156112220544, 0.6837409186327073, 0.6353780625315439, 0.5852620697310787, 0.44245730845544107, 0.5775586942132114, 0.47899567237503804, 0.44516246065880394, 0.471031114473687, 0.625588250623339, 0.5535813080073776, 0.5182788296396131, 0.4875448387703711, 0.4778751718251351, 0.48791053624825326, 0.5928913543222603, 0.528582283075976, 0.5140180447341665, 0.4570673015938709, 0.4376528365209644, 0.4763924205571651, 0.4764614963168667, 0.4468892740184606, 0.5060934408232162, 0.4695594838806196]"
7,27.44,Human,43.75,0.47774870656943774,"[0.22603957708159156, 0.4462297626701148, 0.6054439800062589, 0.5149166998026168, 0.5521190057866591, 0.0, 0.4966926907861087, 0.5557943723236918, 0.48439802005094673, 0.6113343806968582, 0.5265941833994692, 0.4266266843262726, 0.28863386132823116, 0.5546413885916001, 0.37185776647130037, 0.0, 0.5817762113498688, 0.0, 0.687930795868464, 0.6557787020083676, 0.4193871660331743, 0.6421872580953006, 0.5339317070328974, 0.606263250488981, 0.688919644879731, 0.4894298810816978, 0.6375017423454404, 0.0, 0.5658358019491803, 0.41619545222296805, 0.5120427588207336, 0.0, 0.6114871566014252, 0.6242613093480044, 0.5769855953237301, 0.619678937831552, 0.6207474469652985, 0.5982794166214719, 0.607703986982398, 0.5880388349089902, 0.6420115392655497]"
8,43.36,Human,35.76,0.6534244422046458,"[0.6322011595848334, 0.705539436614129, 0.5395371410446158, 0.7574490504604674, 0.550195411423427, 0.6687217032253151, 0.6313178211587479, 0.5628457450132437, 0.54019469616553, 0.7322591458172509, 0.5423430316536799, 0.6627642813675035, 0.6750042557023256, 0.5635918609590204, 0.6896076393150137, 0.6459647447155835, 0.5373736177307751, 0.5271980414434447, 0.7479024243613439, 0.526270025085944, 0.7222745256853904, 0.533110130237281, 0.5532163851415872, 0.5559563686675729, 0.8053153044438444, 0.5150907474707295, 0.6977003562402717, 0.6289659921812102, 0.6919303782483529, 0.7569562212874917, 0.7118050463814553, 0.7556928355399679, 0.5212606725661004, 0.8212255438935, 0.7555581154100365, 0.8171495459394265, 0.7171237384184982, 0.6456779196427758, 0.7711483285998176, 0.7111153003725321, 0.6638474411804353]"
9,58.05,Human,23.11,0.6862595403590779,"[0.619435442775216, 0.6690605405783335, 0.6665405472018002, 0.7082651736610387, 0.6101126455137317, 0.6195677608132384, 0.6073309391558753, 0.616088672463025, 0.5963671980826699, 0.8092971544097189, 0.7544096276461972, 0.6175019868604175, 0.6091475158090635, 0.6211312781163802, 0.5873742592920269, 0.6427832276068293, 0.5949641608207441, 0.8107096129162357, 0.7246492515749966, 0.6743574906174935, 0.6466351900233849, 0.7230875961162638, 0.722306541269048, 0.7614335817787666, 0.7887107685997065, 0.7750920216923535, 0.5894025717367528, 0.6778692464738701, 0.7208478320913378, 0.6697741840184672, 0.6834263682865421, 0.7258936498269599, 0.7460039386145454, 0.6992782843254506, 0.7556136331383834, 0.6778873389555884, 0.730594497962778, 0.755404009894296, 0.7317930063044192, 0.71096049975407, 0.6855319079441702]"
10,44.72,Human,80.72,0.6768866250991712,"[0.7459481441216312, 0.6541432724645414, 0.7251906455135524, 0.7266669556688775, 0.6998228769028654, 0.7447461947970905, 0.7385539286317867, 0.6188405883468473, 0.7518748762430915, 0.7321466168135078, 0.5720034976567814, 0.0, 0.7699391815328055, 0.7430756886983585, 0.7426341935461551, 0.670660685971039, 0.7224275267484169, 0.6986568141623106, 0.7450728280530474, 0.7395858105744355, 0.7791241045800156, 0.7333260959394852, 0.7541743956762819, 0.7432351943422066, 0.739990815887434, 0.7372324697385968, 0.740609249224141, 0.715211593311952, 0.6399221550497588, 0.7397789792924384, 0.735612041437906, 0.0, 0.6659842747534189, 0.6701064351751708, 0.6854102367822008, 0.6357905012963958, 0.6721305928100442, 0.7300322105885193, 0.7217009376852473, 0.7032921774722865, 0.6676968415753756]"
