,text length,binoculars score,percentage,perplexity,entropy_rate,rates,
A man's religion letters to men.txt,182818,,0,0,0.79687561,"[0.8437748241349845, 0.8336666189850471, 0.8094885710866823, 0.6498629749049196, 0.8324470619485234, 0.5612993057201715, 0.7564427514377875, 0.838324545724905, 0.8531107729354219, 0.8453372355187563, 0.8420877431323546, 0.8508025565232497, 0.7572406898571765, 0.8246335024445051, 0.840135239822472, 0.8530830587724456, 0.8525370199412559, 0.8633553101089404, 0.8658315273075482, 0.8586216352340295, 0.7007489379566448, 0.8690714712379437, 0.833935698455423, 0.7754672634615465, 0.8292619654236707, 0.8410765406156749, 0.815324429392441, 0.7794170060524624, 0.8316291889318549, 0.7177823757837746, 0.855514229604912, 0.8678305823994166, 0.8309546324982097, 0.649760355427382, 0.7526794732360617, 0.7686588656696286, 0.7451941346803289, 0.7835581910960437, 0.7450980982818128, 0.727046838548233, 0.7198067968284783]",
A model Christian.txt,158653,0.995689631,0,0,0.477108535,"[0.0, 0.6562461724379417, 0.0, 0.0, 0.8248493753758432, 0.6330626548559536, 0.8850105796853465, 0.0, 0.6443476961957664, 0.8505885207650982, 0.6698531591348167, 0.0, 0.0, 0.6916960372802882, 0.0, 0.6724544114910586, 0.6735303762194231, 0.6916960372802882, 0.6795432017367231, 0.6331812135638759, 0.6938446454788497, 0.0, 0.7058539713564819, 0.6880987549473995, 0.0, 0.0, 0.6784930783413664, 0.0, 0.8165614379527638, 0.0, 0.0, 0.0, 0.6636026722204811, 0.7875067999630844, 0.6584772825586209, 0.8703491848692151, 0.7943314198811179, 0.9165696344922846, 0.6378390804674682, 0.6911529005872366, 0.752709648423361]",
Abridged style manual of the United States Government printing office.txt,401818,0.958083808,0,0,0,,
Africa south of the Sahara a selected annotated list of writings.txt,1639201,1,0,0,0.99969996,"[1.0182993412690915, 0.9504876041327092, 0.9343171869200264, 0.851458666585211, 0.859217264930475, 0.9640249282541241, 0.9550466382097615, 0.7359715116567854, 0.9934588168619135, 1.013012293497789, 0.9623373576299914, 0.9898528409392441, 0.9856747323418931, 0.9397563656092612, 1.097963614838884, 0.9994414246449042, 0.896755622635294, 1.0696188462488552, 1.009611600930869, 0.9104021633292313, 0.9930109349923738, 1.034333335925175, 0.9079746575703153, 1.0584743830914476, 0.9287511460135526, 1.0888436983119, 1.1960391848166094, 1.0739469269488437, 0.8973414803564439, 1.1052730281342107, 0.8815602484052611, 1.0500588072077262, 1.01706839042748, 1.0931336992029974, 1.0798465185664892, 1.1171645473185896, 1.073666519631044, 0.9552514031293046, 1.156804233176521, 1.0931414886345887, 1.0493049119974178]",
Artists for victory  an exhibition catalog.txt,320092,1,0,0,0.629064068,"[0.7359524575732336, 0.770063780114907, 0.5943728664450971, 0.7733228503416627, 0.747821088594764, 0.7947083706817292, 0.8082424255443778, 0.7804292421177917, 0.8214933616793344, 0.8092239407490625, 0.6926965548132125, 0.8152984787079598, 0.6175189000622829, 0.0, 0.6982894615483733, 0.0, 0.7604741673467914, 0.0, 0.8074486109887096, 0.6583814498204279, 0.7340808484657632, 0.2918182543219761, 0.8032098839422794, 0.7172549803738874, 0.6852103936048836, 0.7821786939897117, 0.5239652298051841, 0.0, 0.5815145795174731, 0.7963382490329852, 0.0, 0.5665572237562565, 0.7657418215437618, 0.6718467061410907, 0.7412407516577408, 0.7198997237571482, 0.6746390679274759, 0.761150582291504, 0.7503857225638492, 0.7724120131050585, 0.7664440666752649]",
Books listed in The American bibliography of Slavic and East European studies for 1986 1987 1988 and 1989.txt,920012,0.986666679,0,0,0,,
Botswana Lesotho and Swaziland a guide to official publications 1868-1968.txt,296503,1,0,0,0,,
Building on rock.txt,375662,0.9911111,0,0,0.46657381,"[0.0, 0.0, 0.0, 0.0, 0.6925963109311233, 0.0, 0.9149169827704676, 0.0, 0.0, 0.9016396875550488, 0.0, 0.7617315289082079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.751946159414345, 0.0, 0.0, 0.8027977312019567, 0.8239344571749047, 0.7556877858842785, 0.7786692426192576, 0.8947693858361584, 0.829017257602665, 0.0, 0.8284800682569117, 0.8825713101241469, 0.0, 0.7715283973714752, 0.0, 0.8633292272440654, 0.874820321284288, 0.9400360168193304, 0.808448418110868, 0.8248135648513854, 0.8925577827727399, 0.7678777933189908, 0.8349988666657082, 0.9323579323028175]",
Burma a selective guide to scholarly resources.txt,248613,0.986301363,0,0,2.00289305,"[2.470221416300391, 2.5462541809999397, 0.0, 2.4609711567750407, 2.4354237317352503, 0.8137996459216142, 2.3847870825920303, 2.5041721122098055, 2.104376508566975, 2.5056870694347655, 2.4411090448256623, 0.0, 2.0350630729696966, 2.38725669384499, 2.069779454421337, 2.3006415617117457, 1.9517077152861193, 2.4519833586903332, 2.2950024675036063, 0.0, 2.5009183629077154, 2.4281753220588485, 2.3797464760051157, 1.7618083271690526, 2.323342738409792, 0.0, 2.3385109633462124, 2.3712815130202665, 2.5367149965195184, 2.3714243857356823, 2.5097709561821704, 2.1528536589137213, 1.4130919416754644, 2.0636412376279947, 2.043319383001237, 2.2831738076141646, 2.0379306756380666, 2.0136682802352106, 2.3681994597640563, 1.8674031407944325, 2.195403156165753]",
Catalog of the Gardiner Green Hubbard collection of engravings.txt,698170,1.015503883,0,0,1.240703147,"[1.2754395698988785, 1.2856160799003098, 1.1133478530275223, 1.2967460993102187, 1.125046520437844, 1.1959874043523036, 1.3629703855457656, 1.1838755246257537, 0.9271036404121261, 1.1651468671398135, 1.2863523184854218, 1.3390450028469019, 1.2980220911240061, 1.1947049226459285, 1.1861133880842725, 1.3404470806656736, 1.3068366413393273, 1.322235771577088, 1.237716515992813, 1.3474358324786198, 1.2101518409860264, 1.3346673677848648, 1.242436294168129, 1.2683644107336616, 1.2638137167519166, 0.9681900093789066, 1.144376243732023, 1.2166069225706708, 1.1428362431768873, 1.3735013276641654, 1.1637663416966135, 1.0705396882215366, 1.3154176145309155, 1.388087434175634, 1.2609908851523755, 1.0851710624721471, 1.3732162562221055, 1.3316191548333005, 1.3055415524268634, 1.2451400819723695, 1.3742050865757094]",
