,text length,binoculars score,percentage,perplexity,entropy_rate,rates,
Catalogue of oriental rugs in the collection of James F Ballard.txt,304803,0.983606577,0,0,1.223923953,"[1.1285900532873212, 1.3515485586308313, 1.3953649211944366, 1.252101506619927, 1.2731783493067848, 1.3047818522930716, 1.29760378894974, 1.2804069738623933, 1.3204106907572373, 1.3315115567050784, 0.8041000688804608, 1.3404663417764229, 1.0870650691570498, 1.2224388002218556, 1.3673378999238799, 1.0729754414620032, 1.3271846097891211, 1.3677475480681638, 1.3993450358673962, 1.3163902152760014, 1.2548322584185967, 1.0359815414413691, 1.2860016576134572, 1.3329843409895041, 1.1197467021021223, 1.2851841028226119, 1.2150559856156682, 0.9834159430753922, 1.4031253187911483, 1.2795363364826902, 1.3237676375001182, 1.3235408970544444, 1.1958145209207525, 0.9037881035747477, 1.0973133030112772, 1.2688110075841335, 1.1067518732085264, 1.1441413051209774, 1.0830243376390192, 1.2450986657201497, 1.052416970002661]",
Chats on Japanese prints.txt,480020,0.887323916,0,0,0.831653296,"[0.9813882973818816, 0.8095823034838667, 1.0719280254599919, 0.6469611885090777, 0.7834324829853972, 0.7887614001562723, 0.8053615889999831, 0.8231942175828043, 0.7538837192227158, 0.8159381421209785, 0.7922835812112707, 0.8315926773418858, 0.8216885016395316, 0.7936693615992362, 0.9783543212693487, 0.8518936902231802, 0.49271644739922626, 0.801452354523335, 0.802315648230964, 0.7864482047738983, 0.7804846632197932, 0.7779812179473743, 0.8954534158954198, 0.7498963922015904, 0.7710141664285276, 0.8208805890977244, 0.7292192944156972, 0.798072100270106, 0.7860689949394114, 0.7927729784264158, 0.7069794964739573, 1.0053274545867723, 0.9296263929009966, 0.9996228197549597, 0.8820786999165844, 0.8233998974817768, 0.8871667876763866, 1.0072050762335383, 0.808492440587308, 0.8920621419499309, 1.021133943844565]",
Commercial art.txt,175497,1,0,0,0.846617926,"[0.738740923067938, 0.7316567773213559, 0.8053619478752525, 0.7402621122942119, 0.7941116882951726, 0.9320756226635962, 0.7756293805392797, 0.9372852199373573, 0.8460051721510647, 0.9140215633771694, 0.7478249276383404, 0.864610531852328, 0.8104079778681027, 0.8913331940026685, 0.8245177156791442, 0.9563464451979038, 0.8823102927476248, 0.8974946543578003, 0.8040945745082423, 0.8876465812485745, 0.8464671782070685, 0.89298907597161, 0.8957957585528699, 0.5203126108412931, 0.8479321139947616, 0.855620421509885, 0.8658151974113912, 0.8370652829558648, 0.7890183772897891, 0.7194583417779976, 0.7393948868443873, 0.996228877698474, 0.8833676412991022, 0.9591107730850869, 0.8592169052116972, 0.9599981246027275, 0.8479961279053895, 0.9160997776940499, 0.8739148887696049, 0.925166064842885, 0.8986292413644423]",
Conservation of the spiritual life as taught by St John.txt,213605,0.967032969,0,0,0.471151185,"[0.7921681096932168, 0.8553939115577427, 0.0, 0.0, 0.0, 0.9365105346980126, 0.8337538733518782, 0.0, 0.0, 0.8870345930392186, 0.0, 0.879847253989756, 0.0, 0.0, 0.6827666063791039, 0.9144311802730469, 0.0, 0.0, 0.8259557782127338, 0.0, 0.0, 0.0, 0.9345425019377965, 0.0, 0.0, 0.0, 0.0, 0.9750063832426492, 0.8555994802038824, 0.8810867058426346, 0.0, 0.0, 0.8357179734742637, 0.9624477563706488, 0.8945737058977264, 0.9017258122164623, 0.8167671389947453, 0.9258662118152825, 0.8760285032318442, 0.988094989887912, 0.8618795935029655]",
Della Dorn or Struggles of the Boers.txt,267307,0.953917027,0,0,0.46985743,"[0.0, 0.714861532726198, 0.0, 0.7347651850409013, 0.0, 0.8147507028908133, 0.7497924880042672, 0.7860538482522614, 0.6632526423155657, 0.0, 0.6542510245807264, 0.0, 0.0, 0.0, 0.6567875501565477, 0.7470814395939601, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8622699060914059, 0.0, 0.696164876715612, 0.7206039823026741, 0.7643578084256996, 0.7466206828613322, 0.8776550443294308, 0.0, 0.8647082171129946, 0.0, 0.7541302798510854, 0.7688253069683325, 0.8287800571047954, 0.735322004534581, 0.7500386029910217, 0.9237887714823532, 0.8319998049800578, 0.709415470112243, 0.9078773824022528]",
Desk book of type specimens borders ornaments brass rules and cuts.txt,851523,0.996047437,0.19,0,0,,
Dodge Macknight water color painter.txt,305692,0.983673453,0,0,0.873428465,"[0.0, 0.9664084077345569, 0.8930583821046778, 0.0, 0.0, 0.9323432024982192, 1.017584212121185, 1.1546212802406177, 0.9717584378751308, 1.007148033890167, 0.9706606620699066, 1.081894280582856, 1.0570773204492543, 0.8361741977283609, 1.1149179595861562, 1.083674505330008, 0.8394258617314228, 0.8280471757900518, 0.7718128182071641, 1.0882201046825133, 0.0, 1.172749295510251, 0.0, 0.9262569482794799, 0.9148295234932167, 0.8798636170790503, 1.013963505854804, 1.0440214716472642, 1.023572781944164, 0.9089420092634536, 0.9953536891986295, 0.786273152628103, 1.0447376922968359, 0.9998522040512102, 1.1035865152331967, 1.1727558513773202, 1.0182369369536757, 1.0054405936198618, 1.1601076516601803, 1.0585363204203369, 0.9666604735310526]",
Drawing and painting self-taught.txt,372876,0.914691925,0,0,0.728448526,"[0.7145506251266623, 0.700956807875679, 0.6831980497988027, 0.6685994645543337, 0.7016929213560428, 0.7156910410452985, 0.656099703866938, 0.8055399558502103, 0.6825094112032896, 0.7535978404286195, 0.8301755162360328, 0.697495190546255, 0.6929528099484366, 0.7114014867856708, 0.699606282227557, 0.7509237213493258, 0.643107786955978, 0.7556703885852903, 0.7792125305940252, 0.6568779590022327, 0.7408120371217725, 0.8271039972621291, 0.7395664506294456, 0.7090971876606649, 0.7211638040985204, 0.7002050544676481, 0.6951608498475067, 0.6724670057965043, 0.678878358963961, 0.7133195377471383, 0.7525219704209658, 0.7819151659413364, 0.7295016944097619, 0.7166558024229374, 0.802111049992027, 0.7377012251059389, 0.6909193956188667, 0.791823581275826, 0.6966401463718533, 0.8600518600778627, 0.8089139159796407]",
Finding the way.txt,235076,0.926701546,0,0,0.474669589,"[0.709760730572191, 0.6772487144421977, 0.6339091460188904, 0.0, 0.7898450033269283, 0.746430241062507, 0.0, 0.787971095526783, 0.8251171865767207, 0.0, 0.0, 0.0, 0.6435702746403452, 0.9283801974614919, 0.0, 0.6586147287939829, 0.7800016269168919, 0.7825754173018231, 0.0, 0.0, 0.0, 0.3860950462326052, 0.0, 0.5846507908090411, 0.8248059382480115, 0.0, 0.0, 0.0, 0.695814553952563, 0.0, 0.7274434141567707, 0.36205122082687685, 0.7806467405118211, 0.7020679667666775, 0.7382332170904633, 0.8279736906105963, 0.7722894473436619, 0.7809512817262224, 0.7673012617831011, 0.8707892929825268, 0.6769149126627999]",
Flutes of silence meditations on the inwardness of life.txt,166792,1,0,0,0.564707026,"[0.0, 0.7547851093971726, 0.6958597444961758, 0.0, 0.0, 0.7365549686541935, 0.8075908908325534, 0.7613272435996081, 0.8479093642019983, 0.0, 0.0, 0.7264549050735364, 0.6263079603312963, 0.0, 0.7648301106680683, 0.0, 0.7758843938800886, 0.7571680794415506, 0.7186685299760206, 0.7174360760012094, 0.6997470107688721, 0.0, 0.8615671992893066, 0.7502910709486973, 0.6928814375929989, 0.7531748042104937, 0.0, 0.7267220282392263, 0.7681924963755847, 0.0, 0.699384276927526, 0.7237259733489736, 0.7529456611482716, 0.7714142488852399, 0.8789054068600017, 0.8114649341807179, 0.7008716643783353, 0.7247025518871525, 0.7379357694098384, 0.7278483980216601, 0.6804357598384067]",
For the best things.txt,258595,0.933014333,0,0,0.491620458,"[0.0, 0.0, 0.0, 0.7708446145447424, 0.7797908589494379, 0.0, 0.0, 0.0, 0.8685915014937776, 0.7855331687938072, 0.0, 0.0, 0.9187258559352354, 0.6056099232772376, 0.0, 0.0, 0.0, 0.0, 0.7540817037892256, 0.8676150049788822, 0.8399322832625548, 0.7284881494010832, 0.9621627708604775, 0.7416578476269601, 0.0, 0.7948935189614619, 0.0, 0.0, 0.0, 0.8271569412487467, 0.7989885541659557, 0.6839540120323507, 0.7323141726132921, 0.8546160529440106, 0.8404067826090523, 0.9660904644995564, 0.7418377178019442, 0.8111316690611577, 0.7495120115194235, 0.8745178194828503, 0.8579853628450854]",
Fragments from the King's table.txt,280007,,0,0,0.506324589,"[0.0, 0.6137794528336012, 0.7200146461883414, 0.0, 0.8575077943743263, 0.0, 0.8358374161246883, 0.5928080814869993, 0.0, 0.60958716070461, 0.7553608832082248, 0.6347840674990255, 0.0, 0.0, 0.7650790840452858, 0.8609151212398983, 0.0, 0.6406566010614891, 0.0, 0.6215760563623548, 0.0, 0.708886696757025, 0.6835904741388231, 0.0, 0.7967657863825228, 0.6328042795378611, 0.0, 0.0, 0.0, 0.811792615811099, 0.6766752626876023, 0.705322215393249, 0.8781510381150822, 0.8613087361331185, 0.8436899917735765, 0.6789480671089556, 0.9031497628065627, 0.7549598396939735, 0.7781801053877655, 0.7462050971379538, 0.7909718319795106]",
Francisco de Zurbaran his epoch his life and his works.txt,292868,0.985815585,0,0,0.84742401,"[0.7151559710328815, 0.6926479832168403, 1.0495124914907614, 0.632425592844389, 1.0262570006655671, 0.7382926938275796, 0.7635471365081301, 1.0182893869482323, 0.6782515123195694, 1.056089402668056, 0.8326998413864113, 1.0292150163817633, 0.8765038190410948, 0.7528278642121791, 0.7705735326761074, 0.7129436944228406, 0.9176008734118288, 0.6686134845919471, 0.7115687171303059, 0.7291258946982299, 1.0081041594917435, 0.7790079490351075, 0.8052717013154853, 0.6772744055667954, 0.979690164816554, 0.6485365213470025, 0.7899237273129861, 0.6797918023563068, 0.805876515884458, 0.815182228205202, 0.7250708018846121, 0.7533750645422053, 1.0493405976795722, 1.0011174687340891, 1.0778090299965652, 0.9929331216761875, 1.054306704820873, 0.9767807578748199, 0.8587754502683074, 0.9454397949917671, 0.9486345306802781]",
French etchers of the second empire.txt,187623,1.014705896,0,0,1.017008145,"[1.1373017245917048, 0.826976494712568, 0.824086084366883, 1.308180819046084, 0.9201210877401896, 0.9795605072486576, 1.3185658207887623, 1.3315597094450093, 0.9507031743193065, 1.0501105542747877, 0.9911299098810804, 0.9808133682061225, 0.8273795020925152, 0.8463627567437135, 0.8557829361311621, 1.0118036719442673, 0.8512826844715579, 0.8704087400259849, 1.0198370326286204, 0.965406681814346, 0.7621220443305061, 1.1594740552631633, 1.0529767314469045, 0.8342078763553964, 0.9764078886560573, 1.1920758982866562, 0.8487416651973596, 0.8900085120705656, 1.0325495092921124, 0.8219664828685695, 0.9906398163107145, 0.7880396148672825, 1.0960639887446404, 1.2684159531863344, 1.3073050656721616, 1.2815915604043964, 1.123616121819727, 1.0477141957579734, 1.0224673862029305, 1.111953576391624, 1.2216227513912021]",
German masters of art.txt,648320,0.982062757,0,0,0.489949675,"[0.0, 0.9097235028825897, 0.8657124438498098, 0.7915177779828282, 0.8555993426859904, 0.0, 0.7565084871846488, 0.9569612274411493, 0.661300490063304, 0.0, 0.6658054032330823, 0.0, 0.747412375136843, 0.7746801432501768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9676208343186906, 0.9179231003385325, 0.7306345065341464, 0.0, 0.7742090657152004, 0.0, 0.0, 0.8135310247793331, 0.0, 0.0, 0.7479269335729147, 0.7240247890168282, 0.0, 0.7979691157237471, 0.7600719344605747, 0.9121627080006421, 0.8294119141374154, 0.7489597507651798, 0.703197259739789, 0.936400768441364, 0.7386717881896693]",
God's better thing essays of concern and conviction.txt,340885,,0,0,0.62213753,"[0.0, 0.7224233700331887, 0.8697479499687506, 0.8430084721166378, 0.7314591189628424, 0.0, 0.8330350611829286, 0.6400910635042705, 0.7576891390437955, 0.718946449191158, 0.7430283155810861, 0.8733746932268649, 0.0, 0.9387785188112964, 0.9177194400342716, 0.7476593664514803, 0.0, 0.0, 0.7451318455823998, 0.8220533465232337, 0.0, 0.7499058367680655, 0.7520200623184192, 0.0, 0.7660778986130042, 0.7550013796172146, 0.7581386202612822, 0.8340893868885689, 0.0, 0.732449104737819, 0.7833974770760482, 0.0, 0.9317365959788082, 0.7801450218962406, 0.8451545041209623, 0.7882525078634136, 0.7588823404390653, 0.847279272042345, 0.8932565664949615, 0.8643377408402965, 0.7633682698663361]",
Graphic sampler.txt,556396,0.924324334,0,0,0.846393853,"[0.0, 0.7497562492009018, 0.0, 0.9102547452865841, 0.5281132630993287, 0.8704953204680967, 0.8037454644562214, 0.8870624196103923, 0.8025751510968673, 0.8798836769596133, 1.024182043169587, 0.8387837013689496, 0.6805787440594171, 0.9884852360631974, 0.8662600410380957, 0.8604579796157157, 1.1137721514600334, 0.17925604678932758, 0.7757440577247564, 0.7892128406534037, 1.1172203261196478, 1.0090590488320714, 0.8327326561240124, 1.1518432233718137, 0.8496142423922848, 0.9610575037211686, 0.8399407930323841, 0.8868674939151855, 1.0008912565206, 0.9164868370176196, 0.6890756635504091, 0.8015585803014593, 0.8879761676745157, 0.9607704975215368, 1.0931169514500068, 1.0005834751510703, 1.1103844248542656, 0.9898927562387965, 1.1011569962530496, 0.9961030279277168, 0.957196930343985]",
Growing toward God.txt,229060,1.031531572,0,0,0.458564308,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.866288941881655, 0.0, 0.0, 0.885934418840538, 0.862317485961971, 0.8485737438622608, 0.0, 0.0, 0.0, 0.0, 0.7637442817498538, 0.9078127371394951, 0.7822568082116023, 0.7930502947118172, 0.587245070597258, 0.0, 0.0, 0.7138854593047576, 0.0, 0.5987120815013979, 0.5102805987311709, 0.7770695988069626, 0.8007306396920352, 0.0, 0.0, 0.0, 0.7980300001398025, 0.8666933243946988, 0.8007075579215073, 0.9018673838932558, 0.8568348986753315, 0.8779429235430184, 0.734955450182081, 0.7487304174952202, 0.726732786403422, 0.7907397387335645]",
Help and good cheer.txt,175281,0.975460112,0,0,0.3037229,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7798263801208236, 0.8978459521574069, 0.6321902994917875, 0.7639783207928367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7090855526557465, 0.0, 0.0, 0.0, 0.8995391327731473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8823268479413698, 0.45554226420177973, 0.8164246639925388, 0.8326230287801832, 0.8073229690608579, 0.7684188020205582, 0.858096491301644, 0.774241167064571, 0.0, 0.9131649060760876, 0.6620121013799415]",
Here and there a leaf.txt,254780,0.949494958,0,0,0.577986572,"[0.7124419418356078, 0.8367537568617128, 0.7373179725293973, 0.0, 0.0, 0.8007367572559089, 0.6681679474468317, 0.7247757857408, 0.6673395710201526, 0.6906428025580947, 0.8017407230342128, 0.7326322876371688, 0.8824263763872369, 0.0, 0.8149114425671651, 0.0, 0.0, 0.707826296245676, 0.0, 0.7175402190521998, 0.0, 0.6963529573225075, 0.7115440355961654, 0.0, 0.7076609449282599, 0.7962873001476282, 0.8581314561340158, 0.7463629390417933, 0.7138024404623332, 0.7655144772583716, 0.0, 0.8070399324499936, 0.0, 0.7576873782839519, 0.8176777203626012, 0.7774845262367015, 0.875895162604145, 0.7911670252180815, 0.7878429989601337, 0.7825995295530516, 0.8091447669491572]",
Home furnishing practical and artistic.txt,292261,0.982062757,0.012048193,0,1.036839427,"[1.2252447135661628, 1.2202279543205605, 0.9004882694407648, 0.8502426465174828, 0.8865847194016016, 1.0090903284240456, 1.1401809617683452, 0.9672570892976108, 1.0198603737285485, 0.9553154342277326, 1.0178234056930378, 1.1095197060590094, 1.0834892713837734, 1.0305358587537823, 1.2746572433686068, 1.1087894615851022, 0.9136033474614592, 1.3066494148536596, 1.0327113762952078, 0.7987138816688425, 0.9877869216819902, 0.9081320777058404, 0.8204625531246232, 1.0454692676541282, 1.0955431181742346, 0.9663986850074885, 0.9664615734137898, 0.7185159376103262, 0.7027485765807953, 1.0246942599711746, 0.9346877043447135, 0.8835077413856315, 1.2512938346407976, 1.1609383130551776, 1.0505802354426774, 1.1092636124153223, 1.1446405856604192, 1.2358357814924792, 1.1232854776506467, 1.282191983412973, 1.246992792696556]",
How to make money in the printing business A book for master printers who realize that there is a practical side to the art and who desire to know the surest methods of making profits.txt,639719,0.955357134,0,0,0,,
Interior decoration for the small home.txt,191959,1.033557057,0,0,0.911453358,"[0.7784813016765098, 0.7596431305204284, 0.89102733860393, 0.6749741442583688, 0.815403399919671, 0.8004749987131122, 0.8722812531524186, 0.8158642046929517, 0.9047329507157807, 1.0537124849871626, 1.0035398141768042, 0.7750082511990453, 0.979643843210409, 0.7668429849128922, 0.9588758141141904, 0.9794705530744485, 0.9862435043856785, 0.9878236913037296, 0.758509113787043, 1.0553394192304242, 0.698952133338265, 0.7966143428115136, 0.9162760570284142, 0.9828398818400589, 0.8139539706785281, 0.8235835341579144, 1.0961871849369473, 0.7763250035358337, 0.9615761174264578, 0.8814319779144524, 0.934161008216042, 1.070333688746085, 0.9108330760977265, 1.0763803556654987, 1.0207283578475903, 0.9552411885750484, 0.9518224819222897, 1.059896483699304, 1.0922203062012914, 0.9474785046515931, 0.9848598066617504]",
Intimate letters on personal problems.txt,349732,0.994152069,0,0,0.527124224,"[0.4328587572310196, 0.5520641663405215, 0.4909387916792022, 0.5629814631183804, 0.5873789893271195, 0.5818494232047312, 0.5342338321776064, 0.521932037319089, 0.49328850959480375, 0.498435545889166, 0.45588938055992834, 0.5110170004888478, 0.5524835958008761, 0.48493110544999757, 0.5712566543122775, 0.5013044504129042, 0.5320065736728447, 0.5191055980320574, 0.6314165600452532, 0.5141007245854721, 0.49730649344565137, 0.5127247894290207, 0.5032419013003083, 0.5293281287887688, 0.5344124134377581, 0.5051578354091678, 0.0, 0.5396219935491187, 0.5537475335721825, 0.5036926362093027, 0.6108616978326998, 0.5614036887203839, 0.5982088566652711, 0.6113447971659005, 0.4975073768477371, 0.5694919099317605, 0.5368385525708768, 0.5919026290218691, 0.4922700792094948, 0.6369406878042658, 0.6966160198434344]",
Latin America in Soviet writings 1945-1958 a bibliography.txt,452549,0.984848499,0,0,0.489250549,"[0.0, 1.017927792956332, 0.0, 0.0, 0.0, 0.7907669468532221, 0.0, 0.92199113707251, 0.8696127373274103, 0.9200300492420581, 0.5938578091328962, 0.0, 0.9926934181725138, 0.0, 0.0, 0.6754327521745717, 0.9158696842981847, 0.0, 0.9909337683532166, 0.0, 0.0, 0.0, 0.8110570781750602, 0.0, 0.0, 0.0, 0.9072565913950094, 1.0205744700508839, 0.0, 0.0, 0.0, 0.0, 0.8152613822870882, 0.9804086408667286, 1.0535432953147976, 0.8585656675639072, 0.982384688794323, 0.9178322893338299, 1.0317447648689662, 0.9978693145509445, 0.9936582389737602]",
Life talks a series of Bible talks on the Christian life.txt,161261,0.995238066,0,0,0.245229758,"[0.0, 0.5837183705956763, 0.0, 0.6060198990974679, 0.4784144458776185, 0.0, 0.5406318096555089, 0.0, 0.0, 0.0, 0.0, 0.5356100879715912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49353196109567776, 0.0, 0.6163301208299553, 0.0, 0.0, 0.0, 0.0, 0.5068740440925966, 0.5827730568561675, 0.0, 0.0, 0.0, 0.0, 0.5742811780917173, 0.5657265021609286, 0.6077105904866354, 0.5821731841921347, 0.6052872526628702, 0.4731352436476305, 0.5112659943902814, 0.5923370781511079, 0.5985992651404755]",
Life's beautiful way heavenward.txt,390152,,0,0,0.325222331,"[0.817423716223089, 0.0, 0.0, 0.0, 0.735642141979207, 0.0, 0.0, 0.0, 0.0, 0.5388756730414267, 0.7983920082342832, 0.0, 0.7218272888316334, 0.7350613004384704, 0.0, 0.0, 0.0, 0.0, 0.7417002000678959, 0.6875227462124764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.806557369651114, 0.0, 0.0, 0.0, 0.7309799184026683, 0.7696287223636677, 0.7602609965589957, 0.7605173139894931, 0.8198084682311175, 0.7150663858508205, 0.6863534940095908, 0.7344957022951509, 0.7740021193889188]",
Linotype decorative material  borders rules and dashes produced on the linotype with related linotype initials ornaments and borders.txt,173805,0.98550725,0.029883382,0,0,,
Linotype matrices.txt,386911,1.006211162,0.001461988,0,0.736832026,"[0.8411684749106189, 0.8217195779848847, 0.7652704617314854, 0.5396416757089816, 0.9020317323072825, 0.7223235893830995, 0.7309585220146131, 0.6434694211520866, 0.7722878528172747, 0.848379338265427, 0.7039828394500017, 0.8714654734615751, 0.7624222521305997, 0.7044682365906084, 0.8307233264128585, 0.803179418771555, 0.6674783120469735, 0.9023127652621074, 0.6603899477559753, 0.7769806656614133, 0.7482170536618057, 0.7397614401689413, 0.6106518569763202, 0.7829034033505616, 0.758002511232219, 0.658503775980427, 0.779472758487712, 0.822257900766862, 0.6508689439089679, 0.763010002535182, 0.7373560118037769, 0.6249496476414526, 0.7945524070419585, 0.8434367461158769, 0.6441584963972378, 0.630799530555167, 0.6975878647360575, 0.566910140726489, 0.6914624169738032, 0.681467725686063, 0.7131285659285298]",
